Id,topic,language,media_type,location,followers,popularity,user_id,pageranks,Authority,Hub,Degree,Weighted Degree,modularity_class
FAC20250419000006,Finance,English,Text,North America,265,0,user_157662,0.000182,0.014054,0.014054,452,1480,10
FAC20250419000037,Health,English,Video,Asia,252,0,user_497853,0.000166,0.017585,0.017584,420,1353,7
FAC20250419000049,Sports,French,Image,Europe,472,0,user_161936,0.000097,0.003477,0.003477,194,605,5
FAC20250419000094,Education,English,Video,North America,2590,0,user_21763,0.00017,0.015526,0.015526,423,1359,2
FAC20250419000108,Climate,Portuguese,Text,South America,119,0,user_432291,0.000111,0.004736,0.004736,234,723,0
FAC20250419000144,Technology,English,Video,Asia,3949,1,user_184676,0.000161,0.018688,0.018688,410,1332,1
FAC20250419000145,Health,French,Image,North America,3623,0,user_458936,0.000103,0.007158,0.007158,224,693,7
FAC20250419000150,Technology,English,Image,North America,28504,1,user_448725,0.000162,0.018872,0.018872,415,1340,1
FAC20250419000158,Sports,Spanish,Text,Asia,1708,1,user_436599,0.00012,0.004718,0.004717,254,800,5
FAC20250419000175,Health,Japanese,Text,Asia,149,0,user_409955,0.000101,0.008365,0.008365,225,697,7
FAC20250419000189,Travel,Spanish,Video,Asia,70,0,user_246975,0.000086,0.003519,0.003519,166,517,8
FAC20250419000223,Science,German,Poll,Asia,79,0,user_458951,0.000045,0.000707,0.000707,59,180,14
FAC20250419000243,Finance,English,Text,Asia,26718,0,user_186108,0.000154,0.010228,0.010228,369,1214,10
FAC20250419000262,Food,Portuguese,Text,North America,10177,1,user_143978,0.000104,0.004674,0.004674,218,676,3
FAC20250419000287,Gaming,French,Video,North America,1040,0,user_298376,0.000084,0.002603,0.002603,153,472,13
FAC20250419000290,Business,English,Text,North America,48,0,user_418344,0.000168,0.012768,0.012768,414,1354,11
FAC20250419000293,Business,English,Text,Asia,9506,1,user_428171,0.000169,0.012982,0.012982,419,1374,11
FAC20250419000329,Climate,Spanish,Poll,North America,11121,0,user_208191,0.000067,0.001177,0.001177,106,324,0
FAC20250419000337,Science,Spanish,Image,Asia,35790,0,user_194697,0.000098,0.002648,0.002648,189,591,14
FAC20250419000340,Science,Spanish,Text,Europe,212,0,user_426044,0.000115,0.003837,0.003837,236,736,14
FAC20250419000359,Climate,Hindi,Video,Europe,3302,0,user_130828,0.000075,0.002047,0.002047,131,406,0
FAC20250419000360,Gaming,English,Text,South America,5,0,user_200544,0.000144,0.009552,0.009552,343,1139,13
FAC20250419000384,Entertainment,English,Text,South America,89174,1,user_233015,0.000154,0.021239,0.02124,398,1310,6
FAC20250420000426,Climate,Spanish,Video,Asia,2621,0,user_235322,0.000091,0.002325,0.002325,168,528,0
FAC20250420000431,Food,Chinese,Text,North America,626,0,user_83253,0.000095,0.004497,0.004497,198,614,3
FAC20250420000474,Business,Spanish,Video,North America,6601,1,user_29911,0.000083,0.002909,0.002909,154,475,11
FAC20250420000541,Science,English,Text,North America,2010,0,user_71082,0.000187,0.011747,0.011747,452,1464,14
FAC20250420000568,Health,Arabic,Image,Europe,1070,0,user_293306,0.000096,0.006727,0.006726,206,634,7
FAC20250420000581,Politics,English,Image,Europe,3791,0,user_247816,0.000174,0.012271,0.012271,423,1357,4
FAC20250420000593,Food,English,Text,Asia,1057,0,user_322718,0.000188,0.013751,0.013751,464,1516,3
FAC20250420000597,Sports,English,Text,Europe,1724,1,user_78721,0.000183,0.0121,0.0121,445,1453,5
FAC20250420000632,Food,English,Text,North America,1358,0,user_69842,0.000186,0.013688,0.013688,460,1502,3
FAC20250420000646,AI/ML,French,Video,Africa,47932,0,user_352894,0.000073,0.003563,0.003563,135,411,12
FAC20250420000650,Science,Korean,Text,North America,613,0,user_327890,0.000095,0.00347,0.00347,192,594,14
FAC20250420000665,Entertainment,English,Image,North America,162,0,user_153137,0.000187,0.023971,0.023972,488,1562,6
FAC20250420000681,Finance,English,Text,Asia,769,0,user_263599,0.000179,0.013579,0.013579,442,1458,10
FAC20250420000685,AI/ML,English,Text,South America,323,0,user_143363,0.00019,0.019734,0.019733,489,1580,12
FAC20250420000770,Science,Korean,Text,Europe,216,0,user_77455,0.000091,0.003241,0.003241,180,559,14
FAC20250420000772,Climate,French,Image,North America,3,0,user_402857,0.000082,0.002496,0.002496,152,463,0
FAC20250420000782,Science,French,Image,Europe,969,0,user_175063,0.000099,0.003026,0.003026,195,604,14
FAC20250420000810,Gaming,Spanish,Image,Asia,3644,1,user_316078,0.000107,0.004555,0.004555,223,697,13
FAC20250420000875,Technology,French,Text,Europe,355,0,user_357668,0.000097,0.008207,0.008207,214,665,1
FAC20250420000892,Entertainment,English,Link,North America,14,0,user_407535,0.000129,0.018731,0.018732,324,1004,6
FAC20250420000893,Gaming,English,Link,South America,173,0,user_163106,0.00014,0.009551,0.009551,329,1036,13
FAC20250420000925,Fashion,English,Text,North America,254,0,user_384948,0.000186,0.014606,0.014606,465,1513,9
FAC20250420000939,Business,English,Image,Asia,575,1,user_326454,0.00017,0.013134,0.013133,420,1379,11
FAC20250420000944,Gaming,English,Image,Europe,507,0,user_437812,0.000171,0.011965,0.011965,417,1359,13
FAC20250420000951,Food,English,Video,Asia,30246,1,user_254423,0.000138,0.00839,0.00839,319,1009,3
FAC20250420000966,Travel,English,Text,North America,2095,0,user_59516,0.000181,0.017102,0.017102,461,1518,8
FAC20250420000975,Climate,Korean,Video,South America,3671,0,user_482079,0.000078,0.002131,0.002131,138,427,0
FAC20250420000991,Gaming,English,Image,Asia,344,0,user_49819,0.000179,0.012829,0.012829,439,1429,13
FAC20250421001021,Gaming,Portuguese,Text,Europe,867,0,user_128958,0.000109,0.005697,0.005697,235,733,13
FAC20250421001061,Business,English,Text,Europe,153,0,user_194433,0.000187,0.01487,0.01487,468,1528,11
FAC20250421001076,AI/ML,English,Text,Unknown,297,0,user_406670,0.00019,0.019513,0.019513,488,1584,12
FAC20250421001083,Climate,English,Image,North America,2175,1,user_172011,0.000174,0.011217,0.011217,415,1327,0
FAC20250421001096,Health,English,Text,North America,155,0,user_442519,0.000184,0.019819,0.019818,475,1561,7
FAC20250421001098,Business,Portuguese,Image,North America,1196,0,user_112447,0.000102,0.004949,0.004948,215,665,11
FAC20250421001099,Politics,English,Image,Asia,13,0,user_231935,0.000152,0.009577,0.009577,360,1152,4
FAC20250421001108,Sports,Portuguese,Text,Asia,118,0,user_106372,0.000105,0.004051,0.004051,217,678,5
