Id,topic,language,media_type,location,followers,popularity,user_id,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,modularity_class
FAC20250419000006,Finance,English,Text,North America,265,0,user_157662,224,681,8,0.341245,0.376326,11241.760761,0.031786,0.031786,0.000216,0,7
FAC20250419000037,Health,English,Video,Asia,252,0,user_497853,156,473,7,0.328298,0.356784,14459.571158,0.003524,0.003524,0.000203,0,13
FAC20250419000049,Sports,French,Image,Europe,472,0,user_161936,35,105,9,0.28034,0.296538,15169.979667,0.000245,0.000245,0.000111,0,1
FAC20250419000094,Education,English,Video,North America,2590,0,user_21763,147,444,7,0.326856,0.3547,16374.27336,0.002682,0.002682,0.000199,0,13
FAC20250419000108,Climate,Portuguese,Text,South America,119,0,user_432291,31,94,9,0.280361,0.296042,2753.501152,0.000437,0.000437,0.000088,0,17
FAC20250419000144,Technology,English,Video,Asia,3949,1,user_184676,136,415,7,0.325315,0.352386,9221.500725,0.002842,0.002842,0.000175,0,15
FAC20250419000145,Health,French,Image,North America,3623,0,user_458936,25,75,9,0.276892,0.291008,5533.420731,0.00018,0.00018,0.000078,0,1
FAC20250419000150,Technology,English,Image,North America,28504,1,user_448725,127,381,8,0.325893,0.353878,12465.834747,0.003283,0.003283,0.000147,0,1
FAC20250419000158,Sports,Spanish,Text,Asia,1708,1,user_436599,63,190,8,0.293127,0.312891,11472.059985,0.001306,0.001306,0.000139,0,4
FAC20250419000175,Health,Japanese,Text,Asia,149,0,user_409955,24,72,8,0.277926,0.292718,3122.04916,0.001302,0.001302,0.000064,0,5
FAC20250419000189,Travel,Spanish,Video,Asia,70,0,user_246975,30,91,8,0.272053,0.285384,6257.81888,0.000024,0.000024,0.000113,0,13
FAC20250419000223,Science,German,Poll,Asia,79,0,user_458951,3,9,10,0.229588,0.236828,4897.158854,0.000003,0.000003,0.000049,0,1
FAC20250419000243,Finance,English,Text,Asia,26718,0,user_186108,139,419,8,0.327682,0.357436,8781.106669,0.017097,0.017097,0.000144,0,7
FAC20250419000262,Food,Portuguese,Text,North America,10177,1,user_143978,32,96,7,0.280277,0.295425,6824.397665,0.000367,0.000367,0.000092,0,9
FAC20250419000287,Gaming,French,Video,North America,1040,0,user_298376,22,66,8,0.267733,0.281018,5759.471225,0.000043,0.000043,0.000097,0,13
FAC20250419000290,Business,English,Text,North America,48,0,user_418344,162,488,7,0.331921,0.363218,15667.276486,0.017373,0.017373,0.00017,0,11
FAC20250419000293,Business,English,Text,Asia,9506,1,user_428171,170,513,7,0.334535,0.366278,14864.295368,0.018141,0.018141,0.000176,0,11
FAC20250419000329,Climate,Spanish,Poll,North America,11121,0,user_208191,9,27,8,0.232794,0.240717,3380.690951,0,0,0.000085,0,1
FAC20250419000337,Science,Spanish,Image,Asia,35790,0,user_194697,28,86,8,0.275008,0.289293,4101.424481,0.000031,0.000031,0.000094,0,4
FAC20250419000340,Science,Spanish,Text,Europe,212,0,user_426044,47,141,8,0.293424,0.312191,15492.555837,0.000578,0.000578,0.000119,0,4
