Id,Label,topic,language,media_type,location,followers,popularity,user_id
FAC20250419000006,FAC20250419000006,Finance,English,Text,North America,265,0,user_157662
FAC20250419000037,FAC20250419000037,Health,English,Video,Asia,252,0,user_497853
FAC20250419000049,FAC20250419000049,Sports,French,Image,Europe,472,0,user_161936
FAC20250419000094,FAC20250419000094,Education,English,Video,North America,2590,0,user_21763
FAC20250419000108,FAC20250419000108,Climate,Portuguese,Text,South America,119,0,user_432291
FAC20250419000144,FAC20250419000144,Technology,English,Video,Asia,3949,1,user_184676
FAC20250419000145,FAC20250419000145,Health,French,Image,North America,3623,0,user_458936
FAC20250419000150,FAC20250419000150,Technology,English,Image,North America,28504,1,user_448725
FAC20250419000158,FAC20250419000158,Sports,Spanish,Text,Asia,1708,1,user_436599
FAC20250419000175,FAC20250419000175,Health,Japanese,Text,Asia,149,0,user_409955
FAC20250419000189,FAC20250419000189,Travel,Spanish,Video,Asia,70,0,user_246975
FAC20250419000223,FAC20250419000223,Science,German,Poll,Asia,79,0,user_458951
FAC20250419000243,FAC20250419000243,Finance,English,Text,Asia,26718,0,user_186108
FAC20250419000262,FAC20250419000262,Food,Portuguese,Text,North America,10177,1,user_143978
FAC20250419000287,FAC20250419000287,Gaming,French,Video,North America,1040,0,user_298376
FAC20250419000290,FAC20250419000290,Business,English,Text,North America,48,0,user_418344
FAC20250419000293,FAC20250419000293,Business,English,Text,Asia,9506,1,user_428171
FAC20250419000329,FAC20250419000329,Climate,Spanish,Poll,North America,11121,0,user_208191
FAC20250419000337,FAC20250419000337,Science,Spanish,Image,Asia,35790,0,user_194697
FAC20250419000340,FAC20250419000340,Science,Spanish,Text,Europe,212,0,user_426044
FAC20250419000359,FAC20250419000359,Climate,Hindi,Video,Europe,3302,0,user_130828
FAC20250419000360,FAC20250419000360,Gaming,English,Text,South America,5,0,user_200544
FAC20250419000384,FAC20250419000384,Entertainment,English,Text,South America,89174,1,user_233015
FAC20250420000426,FAC20250420000426,Climate,Spanish,Video,Asia,2621,0,user_235322
FAC20250420000431,FAC20250420000431,Food,Chinese,Text,North America,626,0,user_83253
FAC20250420000474,FAC20250420000474,Business,Spanish,Video,North America,6601,1,user_29911
FAC20250420000541,FAC20250420000541,Science,English,Text,North America,2010,0,user_71082
FAC20250420000568,FAC20250420000568,Health,Arabic,Image,Europe,1070,0,user_293306
FAC20250420000581,FAC20250420000581,Politics,English,Image,Europe,3791,0,user_247816
FAC20250420000593,FAC20250420000593,Food,English,Text,Asia,1057,0,user_322718
FAC20250420000597,FAC20250420000597,Sports,English,Text,Europe,1724,1,user_78721
FAC20250420000632,FAC20250420000632,Food,English,Text,North America,1358,0,user_69842
FAC20250420000646,FAC20250420000646,AI/ML,French,Video,Africa,47932,0,user_352894
FAC20250420000650,FAC20250420000650,Science,Korean,Text,North America,613,0,user_327890
FAC20250420000665,FAC20250420000665,Entertainment,English,Image,North America,162,0,user_153137
FAC20250420000681,FAC20250420000681,Finance,English,Text,Asia,769,0,user_263599
FAC20250420000685,FAC20250420000685,AI/ML,English,Text,South America,323,0,user_143363
FAC20250420000770,FAC20250420000770,Science,Korean,Text,Europe,216,0,user_77455
FAC20250420000772,FAC20250420000772,Climate,French,Image,North America,3,0,user_402857
FAC20250420000782,FAC20250420000782,Science,French,Image,Europe,969,0,user_175063
FAC20250420000810,FAC20250420000810,Gaming,Spanish,Image,Asia,3644,1,user_316078
FAC20250420000875,FAC20250420000875,Technology,French,Text,Europe,355,0,user_357668
FAC20250420000892,FAC20250420000892,Entertainment,English,Link,North America,14,0,user_407535
FAC20250420000893,FAC20250420000893,Gaming,English,Link,South America,173,0,user_163106
FAC20250420000925,FAC20250420000925,Fashion,English,Text,North America,254,0,user_384948
FAC20250420000939,FAC20250420000939,Business,English,Image,Asia,575,1,user_326454
FAC20250420000944,FAC20250420000944,Gaming,English,Image,Europe,507,0,user_437812
FAC20250420000951,FAC20250420000951,Food,English,Video,Asia,30246,1,user_254423
FAC20250420000966,FAC20250420000966,Travel,English,Text,North America,2095,0,user_59516
FAC20250420000975,FAC20250420000975,Climate,Korean,Video,South America,3671,0,user_482079
FAC20250420000991,FAC20250420000991,Gaming,English,Image,Asia,344,0,user_49819
FAC20250421001021,FAC20250421001021,Gaming,Portuguese,Text,Europe,867,0,user_128958
FAC20250421001061,FAC20250421001061,Business,English,Text,Europe,153,0,user_194433
FAC20250421001076,FAC20250421001076,AI/ML,English,Text,Unknown,297,0,user_406670
FAC20250421001083,FAC20250421001083,Climate,English,Image,North America,2175,1,user_172011
FAC20250421001096,FAC20250421001096,Health,English,Text,North America,155,0,user_442519
FAC20250421001098,FAC20250421001098,Business,Portuguese,Image,North America,1196,0,user_112447
FAC20250421001099,FAC20250421001099,Politics,English,Image,Asia,13,0,user_231935
FAC20250421001108,FAC20250421001108,Sports,Portuguese,Text,Asia,118,0,user_106372
FAC20250421001135,FAC20250421001135,Education,English,Image,Europe,5,0,user_296652
FAC20250421001158,FAC20250421001158,Sports,French,Image,North America,18,0,user_187602
FAC20250421001164,FAC20250421001164,Gaming,Spanish,Text,Asia,2657,1,user_64780
FAC20250421001183,FAC20250421001183,Health,French,Poll,Unknown,4833,1,user_422406
FAC20250421001198,FAC20250421001198,Health,Spanish,Image,Europe,687,0,user_111135
FAC20250421001220,FAC20250421001220,Entertainment,Chinese,Image,Europe,939,0,user_454266
FAC20250421001252,FAC20250421001252,Climate,English,Image,North America,905,0,user_457669
FAC20250421001267,FAC20250421001267,Business,English,Link,South America,425,0,user_295146
FAC20250421001272,FAC20250421001272,Travel,Portuguese,Image,Asia,4393,0,user_473516
FAC20250421001278,FAC20250421001278,Gaming,Chinese,Image,Europe,296,0,user_99193
FAC20250421001283,FAC20250421001283,Health,Portuguese,Text,Europe,3956,0,user_77009
FAC20250421001364,FAC20250421001364,Entertainment,Spanish,Image,Europe,2753,1,user_67232
FAC20250421001389,FAC20250421001389,Business,English,Video,Unknown,549,0,user_441108
FAC20250421001461,FAC20250421001461,Science,English,Image,Europe,1735,0,user_196012
FAC20250421001464,FAC20250421001464,Fashion,English,Image,Europe,3009,0,user_473058
FAC20250421001501,FAC20250421001501,Business,English,Link,Europe,389,0,user_166987
FAC20250421001520,FAC20250421001520,Travel,Portuguese,Text,Europe,318,0,user_167222
FAC20250421001523,FAC20250421001523,Education,English,Text,North America,3710,0,user_458837
FAC20250421001524,FAC20250421001524,Sports,English,Text,Africa,32,0,user_198065
FAC20250421001531,FAC20250421001531,Climate,Arabic,Text,North America,1668,0,user_477655
FAC20250421001565,FAC20250421001565,Education,Chinese,Text,North America,281,0,user_89483
FAC20250421001583,FAC20250421001583,Entertainment,Spanish,Text,Europe,414,0,user_150652
FAC20250421001596,FAC20250421001596,Education,Portuguese,Image,Europe,44,0,user_327398
FAC20250421001630,FAC20250421001630,AI/ML,English,Video,Africa,1525,0,user_297164
FAC20250421001632,FAC20250421001632,Politics,Hindi,Video,North America,10831,0,user_375610
FAC20250421001639,FAC20250421001639,Education,Korean,Video,Asia,18690,0,user_434133
FAC20250421001655,FAC20250421001655,Technology,Spanish,Text,Europe,751,0,user_477031
FAC20250421001676,FAC20250421001676,Climate,Portuguese,Image,North America,758,0,user_159046
FAC20250421001725,FAC20250421001725,Health,Portuguese,Image,Asia,2359,0,user_127696
FAC20250421001760,FAC20250421001760,Gaming,English,Image,Europe,115,0,user_291387
FAC20250421001781,FAC20250421001781,Gaming,English,Image,Europe,1211,0,user_313198
FAC20250421001782,FAC20250421001782,AI/ML,Portuguese,Image,Europe,2259,0,user_87198
FAC20250421001796,FAC20250421001796,Sports,Chinese,Text,North America,349,0,user_155047
FAC20250421001818,FAC20250421001818,Health,Japanese,Image,Asia,13,0,user_107890
FAC20250421001819,FAC20250421001819,Travel,Chinese,Text,North America,1532,0,user_324160
FAC20250421001830,FAC20250421001830,Travel,English,Text,North America,30440,1,user_407476
FAC20250421001843,FAC20250421001843,Climate,Portuguese,Link,Europe,196,0,user_225782
FAC20250421001846,FAC20250421001846,Gaming,English,Image,Africa,628,0,user_175526
FAC20250421001871,FAC20250421001871,Politics,English,Text,Asia,1941,1,user_345692
FAC20250421001924,FAC20250421001924,Technology,English,Poll,Oceania,12510,1,user_218905
FAC20250421001949,FAC20250421001949,Technology,English,Image,South America,263,0,user_119199
FAC20250421001962,FAC20250421001962,Technology,Arabic,Image,North America,545,0,user_382022
