emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,post_id
-2.0748742,2.0704541,-1.1605805,0.42786855,-0.2744822,-0.23133917,-0.5826174,-3.5945728,FAC20250517100365
-2.2448545,1.096898,0.6561079,3.1412199,-0.1762818,0.30160546,-0.53842384,-3.3579767,FAC20250619034328
0.021025138,-1.2500038,-2.9177623,-0.4750905,1.1789304,-1.8725636,-3.252287,-2.6733484,FAC20251001144526
-3.932582,0.130653,0.13776849,1.6695662,-1.4419565,-0.09788653,-2.7155766,-0.5040017,FAC20250605025750
-1.4911555,-2.1614685,0.54685104,3.074479,-2.9323018,-1.5086055,-0.06966697,-2.599358,FAC20250420000541
-1.9234331,0.67801726,-4.1553326,1.1285249,2.1121945,-2.0714452,-0.9855125,0.3284122,FAC20250517100262
-0.75779206,-0.01682211,-0.90455866,2.1537826,0.92076254,-0.16492082,-4.358093,-1.1859359,FAC20250902134991
0.5049382,-0.6259488,-0.7926613,3.76804,-1.6068327,-0.43041053,-3.1943367,-2.1722672,FAC20250627113575
-2.7644277,-0.3850725,-0.6092136,3.3755672,0.36902678,1.141762,0.15749858,-3.5365822,FAC20250514099410
-3.0719934,-0.53119564,0.95800686,2.122903,-1.3056823,-1.0757581,-3.3532073,-0.27848893,FAC20250419000290
-3.178471,-0.91107786,1.2301872,1.7715454,-0.055634204,-1.2745466,-3.900245,-0.86297387,FAC20250519014813
-1.7587218,-3.5890744,0.18416259,2.0820088,-0.6513365,-2.1481662,-0.19547908,-0.3906523,FAC20250922082127
-0.87551117,-0.76962876,0.22434358,1.3697152,-3.2652962,-2.9031518,-2.3528705,-1.6482824,FAC20250706041509
0.47857872,0.76941484,-2.424764,1.5734727,0.47190943,-3.1953497,-4.0002613,-0.38993433,FAC20250618033032
-1.191589,-2.8341036,-1.5141575,2.3344736,2.0731783,0.5024352,-2.7153342,-2.9024715,FAC20250830134221
0.072868675,-2.4765756,-2.0296845,0.013082006,0.49481845,-2.4318383,-0.16710865,-4.187766,FAC20250705040287
-3.5645533,0.10663768,-1.0695542,-0.010560386,2.3657932,-1.4652506,-2.7533948,-0.8060436,FAC20250624035377
-1.1098673,-4.0567045,-0.24872504,2.5309143,0.07418199,-2.2178776,-0.36883408,-0.5814213,FAC20250721121191
-4.334848,-0.6098532,1.0561956,1.5626525,-2.0113716,-2.5182447,-1.5142484,-0.39273852,FAC20250905070814
-1.2194283,-1.0015447,-1.5364746,1.339947,-0.3111486,-0.02657916,-4.735454,-1.7111275,FAC20250607028663
0.08147828,-0.0063516283,0.21967603,0.84114105,2.1901584,-2.422839,-2.4636636,-2.5180976,FAC20250519016255
0.96602106,-0.49399263,-1.3747449,2.465564,3.1494632,-2.9213426,-1.1697426,-2.2119324,FAC20251008146641
-1.1298416,-0.18564405,-0.18672042,1.4062766,-3.6141443,-1.960601,-2.2294047,-2.2601461,FAC20250518100744
-1.7090784,-1.2734748,-2.7613003,-0.18563609,2.8700855,-2.7220647,0.46494693,-2.1284864,FAC20250621034696
-3.009227,-0.17509286,-3.6111624,1.0623943,2.4522533,-1.4904513,-0.22431311,0.29880586,FAC20250710117786
0.64076424,0.7828272,-2.4528697,1.7075434,0.3074465,-3.0234106,-3.906775,-0.3978477,FAC20250620111187
0.5323375,0.6791412,-2.376207,1.8737838,0.14597909,-2.9715316,-3.931184,-0.20409374,FAC20250904070336
-2.018572,0.8033131,0.05966128,4.012285,-0.15418936,0.625084,-0.43518943,-3.0740652,FAC20250715119298
0.5197827,-0.3270676,0.6391636,1.6093469,1.2151462,-4.1624312,-0.29586202,-3.0892172,FAC20250806126321
-0.25690418,2.0504866,-0.20672922,1.341374,-1.3527398,-3.7398548,-0.401162,-2.328121,FAC20250724049496
-4.3483057,1.2983091,0.6686273,2.2564788,-0.36446458,-1.0547819,-0.03204613,-1.2573143,FAC20250630038616
-4.397553,-1.7080083,-1.2375374,0.39986703,0.16104461,-1.6470578,1.2561762,-1.2060038,FAC20250626113110
-3.978011,-0.5351456,-1.7993389,-1.4940819,-0.97966653,-1.4897654,-1.7227196,-2.6161666,FAC20250815058442
