post_id,n2v_0,n2v_1,n2v_2,n2v_3,n2v_4,n2v_5,n2v_6,n2v_7,n2v_8,n2v_9,n2v_10,n2v_11,n2v_12,n2v_13,n2v_14,n2v_15,n2v_16,n2v_17,n2v_18,n2v_19,n2v_20,n2v_21,n2v_22,n2v_23,n2v_24,n2v_25,n2v_26,n2v_27,n2v_28,n2v_29,n2v_30,n2v_31
FAC20250419000006,1.1268957,-0.6626014,-0.3331698,0.46037802,-0.13550423,-0.77342135,-0.9251288,-0.17861237,-0.36711386,0.13891225,0.13063021,-0.2152349,0.94842404,-0.40459582,0.71801,-0.5559565,-0.07713449,-0.22499377,0.11166406,0.606085,1.1248149,0.9457275,-0.21965043,-0.29386944,-0.49957833,-0.4237721,-0.80650914,-0.34669778,-0.15225253,0.2957924,0.4822081,0.10227124
FAC20250419000037,1.3758606,-0.9087706,1.2484446,0.29772165,0.5395191,-0.6733566,-0.09894291,0.474806,-0.27195773,0.108354576,-0.66804254,-0.276517,0.070368394,0.11372861,0.4122197,0.32409218,-0.034791406,0.018803779,0.24304493,0.10550073,0.80111647,0.12593046,-0.9220745,-0.28713956,-0.55199546,-0.5343122,-0.25051954,0.9992905,-0.08207486,0.501379,0.21904305,-0.58626103
FAC20250419000049,0.068078764,-0.44221726,0.5767121,0.4381388,0.7492544,-0.78076684,-0.97163075,-0.02698656,-0.32058993,-0.5034585,0.5152007,-1.2177742,-0.507588,-1.5236871,-1.3082283,0.4662726,0.33251873,0.025674442,0.30374685,-0.29097712,0.40698397,0.72622746,-0.35078153,-0.7819952,-0.46634853,0.27563196,-0.8056245,-0.07686633,-0.52322835,0.26599145,-0.84981006,1.3070354
FAC20250419000094,1.254489,-0.36775327,1.0730989,-0.15823239,-0.30617827,-1.3246518,0.18289252,-0.29546604,0.3014334,0.10559278,-0.10638095,0.29842922,0.02151223,-0.40695748,0.68019307,1.0761147,-0.0009343848,0.99526596,0.06941369,-0.11535441,0.11404493,-0.2775729,-0.571358,-0.81328756,-0.18303417,0.13438162,-0.25886288,0.10177656,-0.8734169,0.3140906,0.5513366,-0.76964694
FAC20250419000108,0.44785354,0.2756062,-0.69855464,-0.17216173,-0.9408662,-0.28993398,-0.30486873,0.3834934,0.82629764,-0.39080802,0.59841555,0.074976236,0.9465393,0.5375684,-1.8003913,0.37240672,-0.9037441,1.0171862,-0.025959378,0.74645966,1.0436096,1.1706324,-0.6187214,-0.55654,-0.5093931,-0.5707466,-0.81829613,0.28892508,-0.2833964,0.49821433,-0.35330126,-0.09228362
FAC20250419000144,0.5692192,-0.44543645,1.3553251,0.42487696,-0.22075287,-0.8840381,0.17834125,-0.43211293,-0.25594616,0.36981562,-0.24596396,0.72269166,0.36927158,-0.40312693,0.33993718,0.5329993,0.566783,0.2841028,0.090469904,-0.4327412,0.30427608,0.67285204,0.07351809,-0.16928259,0.16271731,-0.13194247,-0.89906675,0.6383655,-1.6050907,-0.2420953,-0.3516676,-0.8293351
FAC20250419000145,-0.24606344,-0.72603476,0.35965118,0.23083104,-0.32914266,-0.8513256,-1.036613,-0.5539071,0.0013705386,-0.69857574,0.25919464,-0.94196546,-0.42664316,-0.45715597,-0.23167498,0.7722069,-1.2185397,0.13861915,-0.69672185,-0.7145593,0.8328116,-0.48405847,-1.0564734,0.20441245,-0.3185653,-0.3852122,-0.8599658,0.782398,-0.92562574,-0.34718075,-0.793103,0.5095402
FAC20250419000150,-0.11194287,-0.8919771,0.37248498,1.0984745,0.3628632,-0.09538613,0.667284,-0.8650402,0.052283496,0.73942536,-0.29142272,0.11277081,-0.120280005,-1.306828,-0.043826066,0.55925614,-0.4674306,0.076093875,0.30889362,0.13285507,0.4563001,1.032442,-0.011802291,0.076195054,-0.28614122,0.051779844,-0.7460205,0.13420388,-1.3202071,-0.19444747,-0.7210622,-0.23105796
FAC20250419000158,1.0356812,0.5863574,0.22678538,-0.76214355,0.9854325,-0.41175425,-0.104040235,0.7798453,-0.18062884,0.35769388,1.407324,0.014824448,0.4642579,-1.0567917,-1.0044851,-0.13942994,-0.9786058,1.0793366,0.49976677,0.040016644,0.6191326,0.20446584,0.008111679,-0.516146,0.26614752,0.43539542,-1.3312489,-0.053664096,0.10382657,0.20061564,-0.4810675,-0.048340723
FAC20250419000175,0.13332652,-0.035772853,0.35182694,0.14540708,-0.20922147,-0.32886857,-0.44949415,0.25018084,-0.11447106,-0.74121565,0.32250133,-1.2298366,0.9008183,0.7747425,-0.2691832,0.34417075,-1.4994472,0.26611593,-0.2621459,0.30912012,1.2755795,0.6985545,-1.0221347,-0.21272351,-0.38006163,-0.3287149,-0.68893474,0.26521346,0.0671058,0.27972358,-0.39836544,-0.42152086
FAC20250419000189,0.9407979,-0.9831903,2.0402956,-1.0887324,-0.82809466,-0.11845578,-0.4520367,0.50887966,-0.19039774,0.7899069,1.4022629,0.13253875,0.07985826,-0.28610566,-1.1827044,0.22567916,-0.30721217,-0.2622566,0.46686378,-0.27800155,-0.23610114,0.09613479,-0.6754322,-0.667437,0.32787862,0.026393248,-0.4149275,0.34324172,-0.7598894,1.3487542,-0.02236971,0.016712725
FAC20250419000223,0.074452,-0.20096281,0.9037702,-0.34484902,-0.016492216,-0.584588,-0.61316204,-0.4570146,0.91379106,-0.90613765,0.15598316,0.05432109,0.45688593,-0.42836413,-1.580858,-0.28284293,-1.2928022,0.31940904,0.3685979,0.5392414,0.48467278,0.14620866,0.059606988,-0.26316392,0.49626234,0.59726775,-0.22262993,0.08869262,-0.40478936,0.10164502,-0.68284583,0.55970764
FAC20250419000243,0.32371983,-0.6602458,-0.2972238,0.57361674,-0.3821599,-0.25928378,-0.69052637,-0.3175555,-0.62764513,0.21737981,0.6825392,-0.04848144,1.3762672,-0.70538706,0.6188831,0.21229778,-0.6725178,-0.24036439,0.42529976,0.22537792,1.2382597,0.48335928,-0.032429837,-0.58682054,-0.17224261,-0.6627025,-1.0627245,-0.37817344,0.22473562,0.47382194,0.64888054,-0.20005767
FAC20250419000262,0.63276726,0.30865046,-0.4562226,-0.12966444,0.047039486,-0.1515829,-1.7914444,1.1941887,1.128207,-0.047426086,0.08084929,0.39470294,0.25537634,0.002641218,-0.46536696,0.14033891,-0.95083034,0.6282671,-0.9816945,0.5774512,0.80896604,0.8951289,-0.8347754,-0.74375546,-0.80245286,-0.46774292,-0.39494732,0.8878747,-0.6720498,0.2755677,-0.19877964,0.6400425
FAC20250419000287,0.245892,-1.0518926,1.4079076,0.53499,-0.3231036,-0.4647103,-1.4017168,0.4044937,1.1463771,-0.6600636,0.3659394,0.1573037,-1.1533126,-0.7077933,-0.08815356,0.36379647,0.27483615,0.24979612,1.1365721,0.24388759,0.98567,0.44114885,-0.9277839,-0.19097038,1.0911292,-0.5266282,-0.38587016,-0.40382102,-0.90831697,0.5168895,-0.47836843,-0.5371729
FAC20250419000290,0.019557284,-0.63697904,0.21233548,0.4481828,-0.39022878,-1.0500354,-0.502817,-0.026523557,-0.9295725,0.3424786,0.29252675,0.7680971,0.38621515,-0.6874678,-0.50609267,-0.9645704,-1.2920562,0.56616443,-0.0006889737,0.1597432,0.7092554,1.1710033,-0.037617523,-0.32755813,0.47739568,-0.11924064,0.30459577,-0.08821574,0.028539566,0.17047033,0.5166104,-0.48324066
FAC20250419000293,-0.17567724,0.28592223,-0.00010112549,0.26084593,-0.5360458,-1.1327263,-0.79539114,0.1601676,-0.871807,0.09913936,-0.67826664,0.6724529,0.06522718,-0.81147045,0.32393724,-0.05272885,-1.105145,0.33013368,-0.13995597,0.032186925,0.82005996,1.2994182,-0.14081317,-0.7258073,-0.2348835,-0.071967185,-0.5629526,0.17237653,-0.13919008,0.5853963,0.79761714,-0.29771966
FAC20250419000329,0.33119667,0.87128514,0.95786774,0.6578974,-0.46718457,-0.04626952,-0.31167427,-0.89350986,0.9606075,-0.060046483,0.81903714,0.43670076,-0.2217962,-0.6377464,-0.7241035,0.53467923,-1.2407943,0.26644453,-0.1450706,-0.6773584,0.48340094,0.4836061,-0.06293794,-0.76794773,-0.27004945,-1.347712,-0.42704004,0.88589245,0.10571115,1.9541575,-0.7954145,0.6899377
FAC20250419000337,0.67259604,0.14618663,1.3348572,-0.08170203,0.63239855,-0.03462724,-0.18198466,-0.87978,0.5579565,0.3235641,0.32272726,-0.018339457,-0.031766836,-1.0340413,-0.8540304,-0.3258855,-1.6733284,-0.71884686,0.92859155,0.28312027,0.37037337,-0.3617024,-0.4474157,0.054218523,0.030635126,0.57448834,-0.24769285,0.4796634,-0.92944986,1.001589,-0.9964068,0.541372
FAC20250419000340,1.5674744,0.7418559,0.7552831,-0.4222009,0.2920534,-0.20862043,-0.4943654,0.26185527,0.46467474,-0.23810962,0.8934356,-0.5502293,0.6157706,0.0034871139,-0.31376773,-0.09294636,-1.2988069,-0.032070093,0.5725089,1.2047292,1.2470026,0.8297243,-0.25595814,0.16872385,0.46989578,0.49299017,-0.64862126,0.9241859,-0.295278,0.6282588,-1.0091667,0.638902
FAC20250419000359,0.90449053,-0.008130892,0.5743778,-0.5046595,-0.6381219,-0.4859846,-0.14013219,-0.5543687,-0.012603715,0.19189832,0.597717,1.1405804,1.0010288,0.5496979,-0.8681988,1.6323582,-0.17740753,0.9011273,0.410014,-0.45956331,0.5085997,0.16431059,0.10386054,-0.93803257,-0.32040104,-0.38703528,-0.40727782,1.13804,-0.74257505,0.60780835,-0.6751015,-0.6972223
FAC20250419000360,0.4637331,-0.34756365,0.08950814,0.26814544,-0.555089,-0.28171426,0.01713541,0.560339,0.10672182,0.16085193,-0.9191015,-0.05690563,0.665061,-0.79500383,0.442196,-0.2762155,-0.79398274,0.097107396,0.10307202,0.49168026,1.0351684,0.98054236,0.119373605,-1.1722995,0.5916601,0.117705286,-0.55455875,-0.57627213,-0.6715733,-0.15705974,-0.58626527,-0.15632734
FAC20250419000384,1.0141641,-0.35964674,-0.27081403,-0.29423946,0.16333853,-0.90357786,-0.29015845,-0.06267962,-0.8828352,-0.085189186,-0.122787096,0.8109519,0.6008989,-0.41716903,0.16755007,-0.4467799,-1.0794859,-0.4686497,-0.6452271,1.0543364,0.2828942,0.59781265,-0.17503308,-1.4195435,-0.032328315,-0.2007842,-0.75468266,0.24835965,-0.67664284,-0.59811807,0.0639228,-0.41377124
FAC20250420000426,0.99842966,-0.079437084,1.4719907,-0.798794,-0.24984053,-0.02880607,-0.10694664,-1.2474018,0.57786834,0.18239795,1.1517608,0.6456694,0.15823077,0.2997736,-0.35106757,1.2161534,-0.63922876,1.0479763,0.4390685,-0.14872429,0.7759275,-0.26040864,0.06482292,-1.1423653,-0.08754788,0.2573921,-0.32732996,0.9266458,-0.3705423,1.2575742,-0.38732913,-0.41247857
FAC20250420000431,0.53646964,0.257193,0.8709939,0.6261909,-0.73104393,-0.07296756,-1.0703099,0.37003875,0.8161322,0.63614446,1.1474103,0.59023833,0.9275989,-0.1610915,-0.33649173,0.016045459,-0.67776555,-0.02779005,-0.38732877,0.13879137,0.52607536,0.697965,-0.45536256,-1.0912105,0.47518504,-0.50820184,-0.14144579,0.026924929,-0.35633415,-0.47338712,0.22980838,0.7158818
FAC20250420000474,-0.12574156,0.52125627,2.3035965,-0.294772,-0.14616507,-0.43389443,-0.6906731,-0.20199059,-0.64464355,0.44747198,0.29009786,0.5081634,-0.21239227,-0.012822504,-0.74962175,-0.026852056,-0.8865432,1.2490101,1.2490782,-0.16687424,0.6383974,0.20406505,-0.2717239,-0.59999406,-0.35336903,0.7381755,-0.3130592,1.3371754,-0.6578507,0.8557821,0.10177372,-0.40835154
FAC20250420000541,0.8010357,-0.25354904,-0.18453702,-0.70726717,0.3092824,-1.0139827,-0.3072576,-0.4657142,0.52403706,-0.08484689,-0.1123163,0.10629722,1.0754279,-0.7659784,0.35073105,0.06341456,-1.319015,-0.052205916,0.3991858,0.67226374,0.06801959,0.9569633,0.092601195,-0.5225186,0.16344516,0.4355552,-0.776781,0.16739492,-0.10718763,-0.6493081,-0.13393062,-0.74843997
