Id,platform,hour_of_day,day_of_week,is_weekend,user_id,followers,account_age_days,verified,topic,language,content_length,media_type,num_hashtags,sentiment_category,sentiment_positive,sentiment_negative,sentiment_neutral,toxicity_score,location,hour_sin,hour_cos,day_sin,day_cos,has_media,many_hashtags,long_content,sentiment_intensity,high_toxicity,popularity,modularity_class,stat_inf_class,clustering,triangles,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber
FAC20250419000006,Facebook,8,5,1,user_157662,265,57,0,Finance,English,336,Text,5,Neutral,0.215,0,0.816,23,North America,0.866025,-0.5,-0.974928,-0.222521,0,1,1,0.816,0,0,28,50,0.142857,4,0.651626,15,0.100974,0.111857,2337.816677,0.001054,0.001054,0.000124,0
FAC20250419000037,Facebook,11,5,1,user_497853,252,3100,0,Health,English,387,Video,3,Negative,0.081,0.672,0.247,55.5,Asia,0.258819,-0.965926,-0.974928,-0.222521,1,0,1,0.672,0,0,25,58,0.277778,10,0.617791,14,0.114356,0.127071,195408.901149,0.000635,0.000635,0.000142,0
FAC20250419000049,Facebook,12,5,1,user_161936,472,3604,0,Sports,French,225,Image,1,Negative,0.069,0.869,0.062,73.7,Europe,0,-1,-0.974928,-0.222521,1,0,1,0.869,1,0,15,55,0.194444,7,0.657977,18,0.090081,0.102839,6079.216831,0.00067,0.00067,0.00014,0
FAC20250419000094,Facebook,14,5,1,user_21763,2590,3394,0,Education,English,68,Video,0,Negative,0.025,0.911,0.064,84.3,North America,-0.5,-0.866025,-0.974928,-0.222521,1,0,0,0.911,1,0,21,31,0.138889,5,0.730848,16,0.097881,0.110453,32715.810263,0.000407,0.000407,0.000138,0
FAC20250419000108,Facebook,14,5,1,user_432291,119,1611,0,Climate,Portuguese,52,Text,2,Positive,0.887,0.053,0.059,0,South America,-0.5,-0.866025,-0.974928,-0.222521,0,0,0,0.887,0,0,10,33,0.177778,8,0.772541,17,0.093357,0.104324,485.340123,0.001106,0.001106,0.000153,0
FAC20250419000144,Facebook,15,5,1,user_184676,3949,720,0,Technology,English,214,Video,1,Neutral,0.102,0.213,0.685,7,Asia,-0.707107,-0.707107,-0.974928,-0.222521,1,0,1,0.685,0,1,18,24,0.133333,2,0.391758,17,0.095538,0.105861,1416.653792,0.000224,0.000224,0.000102,0
FAC20250419000145,Facebook,16,5,1,user_458936,3623,1612,0,Health,French,181,Image,2,Positive,0.929,0.105,0,22,North America,-0.866025,-0.5,-0.974928,-0.222521,1,0,1,0.929,0,0,6,22,0.138889,5,0.591989,17,0.099777,0.112087,58466.179864,0.000179,0.000179,0.000144,0
FAC20250419000150,Facebook,16,5,1,user_448725,28504,907,0,Technology,English,47,Image,0,Positive,0.675,0.058,0.267,29.4,North America,-0.866025,-0.5,-0.974928,-0.222521,1,0,0,0.675,0,1,13,49,0.138889,5,0.632014,17,0.087758,0.100474,12248.590733,0.000307,0.000307,0.000143,0
FAC20250419000158,Facebook,16,5,1,user_436599,1708,978,0,Sports,Spanish,73,Text,3,Positive,0.93,0.149,0,37.9,Asia,-0.866025,-0.5,-0.974928,-0.222521,0,0,0,0.93,0,1,12,26,0.142857,4,0.607351,16,0.097051,0.109233,7247.374348,0.001016,0.001016,0.000127,0
FAC20250419000175,Facebook,17,5,1,user_409955,149,1925,0,Health,Japanese,292,Text,0,Positive,0.788,0.142,0.07,15.2,Asia,-0.965926,-0.258819,-0.974928,-0.222521,0,0,1,0.788,0,0,20,72,0.083333,3,0.52597,17,0.094881,0.10709,8882.800262,0.000122,0.000122,0.000147,0
