Id,topic,verified,followers,sentiment_positive,popularity,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,modularity_class,eigencentrality
INS20250419000002,Sports,0,6471,0.808,0,67,248,12,0.156629,0.20918,370492.522114,0,0,0.000235,0,16,0.22472
INS20250419000003,Education,0,1366,0.802,0,98,368,10,0.190949,0.249479,843330.600983,0,0,0.000327,1,15,0.529498
INS20250419000007,Business,0,3433,0.116,0,93,353,10,0.191461,0.251848,461482.828787,0,0,0.000303,2,13,0.607284
INS20250419000009,Fashion,0,18079,0.74,1,54,197,13,0.149831,0.20717,187770.365637,0,0,0.000188,3,12,0.156861
INS20250419000013,Health,0,215,0.155,0,99,372,18,0.153887,0.233829,742996.148983,0,0,0.000331,4,52,0.534365
INS20250419000023,Travel,0,43236,0.613,1,25,83,12,0.178012,0.211291,171716.807869,0.000012,0.000012,0.000098,5,38,0.048553
INS20250419000028,Education,0,7869,0.201,0,67,248,10,0.188105,0.239574,574263.210069,0,0,0.00023,1,10,0.246453
INS20250419000029,Business,0,315,0.61,0,39,143,13,0.158906,0.197698,119976.527074,0,0,0.000141,2,41,0.099699
INS20250419000030,Science,0,480,0.068,0,90,346,11,0.168042,0.229359,535953.25531,0,0,0.000298,6,18,0.515998
INS20250419000041,Sports,0,8764,0.203,0,65,244,12,0.15548,0.211694,267481.747733,0,0,0.000217,0,4,0.311598
INS20250419000043,Business,0,166,0.18,1,92,351,11,0.181615,0.240214,242492.491942,0,0,0.000299,2,29,0.526592
INS20250419000044,Politics,0,176,0.913,0,43,160,15,0.143826,0.188503,104209.499433,0,0,0.000149,7,24,0.144647
INS20250419000047,Fashion,0,17445,0.088,1,44,159,13,0.16941,0.217529,420713.966907,0,0,0.000156,3,33,0.127461
INS20250419000048,Finance,0,4410,0.119,0,76,285,12,0.165492,0.230608,618993.725087,0,0,0.000249,8,20,0.383688
INS20250419000051,Sports,0,497,0.692,0,62,234,12,0.155061,0.210442,530500.133484,0,0,0.000212,0,16,0.223867
INS20250419000061,Sports,0,61,0.909,0,26,94,12,0.155504,0.193514,174057.665526,0,0,0.000097,0,16,0.057443
INS20250419000064,Science,0,5541,0.092,0,78,299,12,0.164179,0.221174,142513.042693,0,0,0.000258,6,26,0.41884
INS20250419000066,Science,0,3347,0.093,1,101,395,12,0.163436,0.226356,307692.704329,0,0,0.000323,6,26,0.762886
INS20250419000076,Technology,0,61,0.076,0,49,185,11,0.160429,0.204572,181926.866297,0,0,0.000167,9,49,0.160716
INS20250419000079,AI/ML,0,3553,0.662,1,59,217,14,0.162101,0.221745,240072.481735,0,0,0.000202,10,51,0.256477
INS20250419000082,Entertainment,0,66,0.938,0,32,113,12,0.147251,0.184512,58570.664364,0,0,0.000117,11,39,0.072206
INS20250419000085,Science,0,120311,0.156,0,28,92,11,0.197447,0.234916,1139458.548374,0,0,0.000111,6,26,0.067465
INS20250419000089,Finance,0,113,0.031,0,62,233,12,0.158639,0.212701,206335.409721,0,0,0.000207,8,0,0.281668
INS20250419000093,Technology,0,4311,0.11,1,76,291,11,0.16254,0.21975,268908.757765,0,0,0.000251,9,35,0.359363
INS20250419000095,Business,0,2810,0.116,0,87,337,10,0.188435,0.246429,213600.752643,0,0,0.00028,2,13,0.569492
INS20250419000100,Sports,0,31308,0.1,0,38,139,12,0.156556,0.203379,177863.561766,0,0,0.000132,0,4,0.111727
INS20250419000102,Climate,0,283,0.06,0,69,257,12,0.17822,0.235059,362348.02578,0,0,0.000233,12,7,0.301222
