Id,Label,topic,verified,followers,sentiment_positive,popularity
INS20250419000002,INS20250419000002,Sports,0,6471,0.808,0
INS20250419000003,INS20250419000003,Education,0,1366,0.802,0
INS20250419000007,INS20250419000007,Business,0,3433,0.116,0
INS20250419000009,INS20250419000009,Fashion,0,18079,0.74,1
INS20250419000013,INS20250419000013,Health,0,215,0.155,0
INS20250419000023,INS20250419000023,Travel,0,43236,0.613,1
INS20250419000028,INS20250419000028,Education,0,7869,0.201,0
INS20250419000029,INS20250419000029,Business,0,315,0.61,0
INS20250419000030,INS20250419000030,Science,0,480,0.068,0
INS20250419000041,INS20250419000041,Sports,0,8764,0.203,0
INS20250419000043,INS20250419000043,Business,0,166,0.18,1
INS20250419000044,INS20250419000044,Politics,0,176,0.913,0
INS20250419000047,INS20250419000047,Fashion,0,17445,0.088,1
INS20250419000048,INS20250419000048,Finance,0,4410,0.119,0
INS20250419000051,INS20250419000051,Sports,0,497,0.692,0
INS20250419000061,INS20250419000061,Sports,0,61,0.909,0
INS20250419000064,INS20250419000064,Science,0,5541,0.092,0
INS20250419000066,INS20250419000066,Science,0,3347,0.093,1
INS20250419000076,INS20250419000076,Technology,0,61,0.076,0
INS20250419000079,INS20250419000079,AI/ML,0,3553,0.662,1
INS20250419000082,INS20250419000082,Entertainment,0,66,0.938,0
INS20250419000085,INS20250419000085,Science,0,120311,0.156,0
INS20250419000089,INS20250419000089,Finance,0,113,0.031,0
INS20250419000093,INS20250419000093,Technology,0,4311,0.11,1
INS20250419000095,INS20250419000095,Business,0,2810,0.116,0
INS20250419000100,INS20250419000100,Sports,0,31308,0.1,0
INS20250419000102,INS20250419000102,Climate,0,283,0.06,0
INS20250419000103,INS20250419000103,Health,0,31,0.085,0
INS20250419000104,INS20250419000104,Fashion,0,117,0.748,0
INS20250419000112,INS20250419000112,Business,0,89,0.139,0
INS20250419000113,INS20250419000113,Fashion,0,2445,0.233,0
INS20250419000117,INS20250419000117,Politics,0,502,0.263,0
INS20250419000118,INS20250419000118,Sports,0,17235,0.701,1
INS20250419000121,INS20250419000121,Education,0,150197,0.016,1
INS20250419000122,INS20250419000122,Climate,0,106787,0.262,1
INS20250419000125,INS20250419000125,Education,0,40,0.108,0
INS20250419000126,INS20250419000126,Travel,0,129,0.651,0
INS20250419000129,INS20250419000129,Science,0,575,0.082,0
INS20250419000132,INS20250419000132,Travel,0,3302,0.907,0
INS20250419000140,INS20250419000140,Technology,0,7231,0.663,0
INS20250419000147,INS20250419000147,Travel,0,439,0.681,0
INS20250419000148,INS20250419000148,Fashion,0,3442,0.775,1
INS20250419000152,INS20250419000152,Climate,0,797,0.932,0
INS20250419000157,INS20250419000157,Gaming,0,788,0.91,0
INS20250419000163,INS20250419000163,AI/ML,0,15773,0.723,1
INS20250419000177,INS20250419000177,Sports,0,52,0.745,0
INS20250419000179,INS20250419000179,Travel,0,1321,0.782,0
INS20250419000182,INS20250419000182,Fashion,0,165,0.052,0
INS20250419000184,INS20250419000184,Gaming,0,2487,0.136,0
INS20250419000188,INS20250419000188,Finance,0,67,0.93,0
INS20250419000192,INS20250419000192,Education,0,20,0.085,0
INS20250419000200,INS20250419000200,Science,0,413,0.895,0
INS20250419000215,INS20250419000215,Business,0,4789,0.916,0
INS20250419000221,INS20250419000221,Travel,1,502065,0.712,1
INS20250419000224,INS20250419000224,Technology,0,3821,0.87,0
INS20250419000225,INS20250419000225,Education,0,741,0.657,1
INS20250419000231,INS20250419000231,Travel,0,167,0.72,0
INS20250419000232,INS20250419000232,Finance,0,504,0.937,0
INS20250419000234,INS20250419000234,Health,0,26,0.109,0
INS20250419000247,INS20250419000247,Politics,0,4234,0.948,0
INS20250419000248,INS20250419000248,Politics,0,115,0.663,0
INS20250419000251,INS20250419000251,Fashion,0,1210,0.665,0
INS20250419000260,INS20250419000260,Science,0,6920,0.194,0
INS20250419000261,INS20250419000261,Fashion,0,1067,0.241,0
INS20250419000263,INS20250419000263,Health,0,1674,0.181,0
INS20250419000265,INS20250419000265,Gaming,0,6187,0.729,0
INS20250419000278,INS20250419000278,Education,0,210,0.234,0
INS20250419000280,INS20250419000280,Sports,0,75363,0.662,1
INS20250419000295,INS20250419000295,Entertainment,0,88,0.218,0
INS20250419000296,INS20250419000296,Fashion,0,9940,0.034,0
INS20250419000301,INS20250419000301,Food,0,51,0.73,0
INS20250419000302,INS20250419000302,Fashion,0,259,0.012,0
INS20250419000312,INS20250419000312,Politics,0,4309,0.154,0
INS20250419000325,INS20250419000325,Food,0,14,0.937,0
INS20250419000333,INS20250419000333,AI/ML,1,230300,0.116,1
INS20250419000344,INS20250419000344,AI/ML,0,463,0.776,0
INS20250419000347,INS20250419000347,Business,0,2281,0.296,0
INS20250419000352,INS20250419000352,Business,0,61,0.675,0
INS20250419000353,INS20250419000353,Health,0,5,0.818,0
INS20250419000378,INS20250419000378,Fashion,0,526,0.732,0
INS20250419000379,INS20250419000379,Climate,0,22,0.024,0
INS20250419000380,INS20250419000380,Education,0,611,0.09,0
INS20250419000382,INS20250419000382,Gaming,0,2209,0.067,0
INS20250419000386,INS20250419000386,Finance,0,75883,0.9,1
INS20250419000399,INS20250419000399,Climate,0,765,0.229,0
INS20250420000402,INS20250420000402,Travel,0,198,0.663,0
INS20250420000407,INS20250420000407,Fashion,0,7068,0.756,0
INS20250420000416,INS20250420000416,Education,0,81,0.822,0
INS20250420000418,INS20250420000418,Food,0,11218,0.66,1
INS20250420000424,INS20250420000424,Health,0,14622,0.25,1
INS20250420000430,INS20250420000430,Health,0,10930,0.111,1
INS20250420000442,INS20250420000442,Sports,0,80,0.912,0
INS20250420000443,INS20250420000443,Finance,0,681,0.932,0
INS20250420000452,INS20250420000452,Sports,0,29,0.758,0
INS20250420000456,INS20250420000456,Sports,0,208,0.253,0
INS20250420000457,INS20250420000457,AI/ML,0,2721,0.812,1
INS20250420000458,INS20250420000458,Sports,0,3183,0.141,0
INS20250420000471,INS20250420000471,Fashion,0,110,0.066,0
INS20250420000472,INS20250420000472,Education,0,460,0.847,0
INS20250420000481,INS20250420000481,AI/ML,0,12,0.073,0
INS20250420000487,INS20250420000487,Food,0,1605,0.938,0
INS20250420000492,INS20250420000492,Food,0,1658,0.751,0
INS20250420000497,INS20250420000497,Technology,0,17815,0.711,0
INS20250420000507,INS20250420000507,Politics,0,3802,0.842,0
INS20250420000510,INS20250420000510,Fashion,0,6019,0.74,1
INS20250420000511,INS20250420000511,Health,0,820,0.743,0
INS20250420000513,INS20250420000513,Science,0,859,0.877,0
INS20250420000515,INS20250420000515,Fashion,0,2985,0.299,1
INS20250420000527,INS20250420000527,Technology,0,1416,0.05,0
INS20250420000529,INS20250420000529,Entertainment,0,38766,0.091,0
INS20250420000536,INS20250420000536,Food,0,269,0.137,0
INS20250420000539,INS20250420000539,Health,0,16,0.105,0
INS20250420000540,INS20250420000540,Science,0,12727,0.113,1
INS20250420000544,INS20250420000544,Gaming,0,497,0.616,0
INS20250420000551,INS20250420000551,Fashion,0,16461,0.066,1
INS20250420000555,INS20250420000555,Politics,0,7254,0.848,0
INS20250420000556,INS20250420000556,Health,0,63,0.255,0
