emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,post_id
-2.0458212,-1.5143251,0.12445275,0.47159234,0.5746015,-2.8477004,-1.9235193,0.87068295,INS20250519014678
-0.050668135,-0.04308053,3.6113398,3.866861,-0.8468778,-0.04237385,-2.567069,-0.9592637,INS20251015148726
-2.6003141,-3.1182244,-0.30823553,-0.2915497,1.7031219,1.0862894,-4.27149,-0.24442773,INS20251017149525
-0.8848476,1.7075657,0.8147991,3.1209424,-0.013957131,-3.3413255,-3.6687248,1.3159101,INS20250903069879
2.6480916,0.7511247,2.6842487,0.77338594,1.1197933,-1.7821721,-3.63457,-3.3684506,INS20250428004619
-1.0677321,2.476609,1.0984902,1.6393687,2.1921327,-1.6109432,-3.3703876,-0.5403923,INS20251018149895
0.5147771,-0.6745107,0.83883417,-2.8228776,-0.97457975,-1.7764137,-4.528777,1.5154881,INS20250602105572
-0.26506805,-1.148981,-0.95847,-0.7222937,0.5405888,1.5503105,-5.634483,2.3580022,INS20250605025530
0.8162917,-3.8068852,-0.67530805,0.70479906,3.4763503,0.33920005,-3.0427282,1.794562,INS20250528103804
0.06439593,0.6701577,4.386405,1.9052712,0.027848646,0.5470825,-3.6129901,-2.5391974,INS20250919140610
1.6751579,0.046431147,4.271217,1.3284627,2.8711698,-2.0146387,-1.6924767,2.2378733,INS20250625113045
1.1910352,-0.13504282,3.1621492,1.8908917,4.50129,0.78085655,-2.490913,-0.8323412,INS20250922080751
-2.5298054,-2.926305,0.3307207,-0.6780342,0.8515048,1.3751644,-4.1921277,-0.39521083,INS20250809055701
0.87501055,-0.16125512,5.0784583,1.3077188,-1.0976623,-1.1063361,-2.3556397,-0.3985844,INS20250601024149
2.6576962,-0.40181604,0.21088381,2.8516047,-1.6486748,0.6276317,-4.838073,0.0138066495,INS20250702115110
0.6924078,-0.16211306,1.2719111,-2.185393,2.9732647,-1.848372,-4.1910796,-2.7398322,INS20250627036742
2.4774635,-0.53489995,0.16472542,4.02758,1.8128778,-1.6729373,-2.8121595,2.306049,INS20250825064959
1.8152817,1.1081628,0.4247563,3.082073,-0.16674536,0.21026745,-4.4522967,-1.8391638,INS20250809056547
-1.3610579,-3.324301,-0.22707205,-0.105638266,0.9062134,1.576847,-3.829207,-0.5032303,INS20250710043686
0.086824946,-1.4745147,3.0037334,0.89466596,-1.1323998,-0.32691768,-3.3732455,-3.2809603,INS20250519015851
