Id,Label,platform,hour_of_day,day_of_week,is_weekend,user_id,followers,account_age_days,verified,topic,language,content_length,media_type,num_hashtags,sentiment_category,sentiment_positive,sentiment_negative,sentiment_neutral,toxicity_score,location,hour_sin,hour_cos,day_sin,day_cos,has_media,many_hashtags,long_content,sentiment_intensity,high_toxicity,popularity,Degree,Weighted Degree,Authority,Hub,pageranks,componentnumber,modularity_class,clustering,triangles,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
TIK20250419000000,TIK20250419000000,TikTok,1,5,1,user_426711,137,306,0,Finance,English,147,Image,1,Neutral,0.09,0.279,0.63,29.4,Asia,0.258819,0.965926,-0.974928,-0.222521,1,0,1,0.63,0,0,8,9.6,0.000469,0.000469,0.000108,0,22,0.214286,6,0.448513,16,0.091993,0.099999,16916.015425
TIK20250419000036,TIK20250419000036,TikTok,11,5,1,user_190801,1835,1202,0,Food,English,37,Image,5,Positive,0.907,0.131,0,22.5,Europe,0.258819,-0.965926,-0.974928,-0.222521,1,1,0,0.907,0,0,7,8.4,0.000002,0.000002,0.000098,0,23,0.190476,4,0.350808,18,0.08905,0.096097,8430.820169
TIK20250419000054,TIK20250419000054,TikTok,12,5,1,user_150200,129,1895,0,Finance,English,129,Link,1,Neutral,0.11,0.107,0.784,0,Asia,0,-1,-0.974928,-0.222521,1,0,0,0.784,0,0,7,9.6,0.000232,0.000232,0.000097,0,22,0.047619,1,0.383084,17,0.088635,0.096435,22460.674843
TIK20250419000091,TIK20250419000091,TikTok,14,5,1,user_106605,62085,151,0,Fashion,Korean,144,Link,2,Neutral,0.169,0.157,0.674,19.5,Asia,-0.5,-0.866025,-0.974928,-0.222521,1,0,0,0.674,0,1,8,9.6,0.000085,0.000085,0.000102,0,6,0.107143,3,0.598024,18,0.09802,0.106226,50253.901999
TIK20250419000092,TIK20250419000092,TikTok,14,5,1,user_349137,23,1875,0,Food,Portuguese,125,Text,0,Neutral,0.295,0,0.791,0,North America,-0.5,-0.866025,-0.974928,-0.222521,0,0,0,0.791,0,0,8,8.4,0,0,0.000107,0,31,0.035714,1,0.499208,18,0.093022,0.102551,49814.946969
TIK20250419000123,TIK20250419000123,TikTok,15,5,1,user_124706,282,3426,0,Politics,Arabic,78,Link,3,Positive,0.656,0.085,0.259,15.2,Europe,-0.707107,-0.707107,-0.974928,-0.222521,1,0,0,0.656,0,0,8,8.4,0.000002,0.000002,0.000112,0,5,0.071429,2,0.393117,18,0.093393,0.101906,38681.240944
TIK20250419000133,TIK20250419000133,TikTok,15,5,1,user_388201,4008,980,0,Food,English,112,Poll,1,Neutral,0.159,0.142,0.699,0,North America,-0.707107,-0.707107,-0.974928,-0.222521,1,0,0,0.699,0,0,7,8.4,0.000001,0.000001,0.000102,0,16,0.047619,1,0.314453,21,0.078263,0.085418,8174.622846
TIK20250419000159,TIK20250419000159,TikTok,16,5,1,user_161378,143,203,0,Climate,English,143,Link,0,Positive,0.881,0.072,0.047,0,Europe,-0.866025,-0.5,-0.974928,-0.222521,1,0,0,0.881,0,0,7,8.4,0.00007,0.00007,0.000095,0,27,0.190476,4,0.40153,16,0.094499,0.102617,21026.280989
TIK20250419000178,TIK20250419000178,TikTok,17,5,1,user_243837,838,1898,0,Politics,English,106,Text,2,Positive,0.794,0.099,0.106,28.3,North America,-0.965926,-0.258819,-0.974928,-0.222521,0,0,0,0.794,0,0,8,8.4,0,0,0.000109,0,7,0.071429,2,0.427676,18,0.083547,0.091013,6093.408657
TIK20250419000180,TIK20250419000180,TikTok,17,5,1,user_415030,78,1887,0,Climate,English,55,Image,0,Neutral,0.175,0.052,0.773,0,Asia,-0.965926,-0.258819,-0.974928,-0.222521,1,0,0,0.773,0,0,5,8.4,0.000001,0.000001,0.000073,0,29,0.2,2,0.243484,18,0.082192,0.089879,5422.806556
