Source,Target,Weight,Relation
TIK20250614031348,TIK20250725122589,1.0,topic
TIK20250525103002,TIK20250725122589,1.0,topic
TIK20250525103002,TIK20250816059888,1.0,topic
TIK20250816059888,TIK20250902134913,1.0,topic
TIK20250902134913,TIK20251011147539,1.0,topic
TIK20250731124441,TIK20251011147539,1.0,topic
TIK20250702114999,TIK20250731124441,1.0,topic
TIK20250702114999,TIK20250912138410,1.0,topic
TIK20250503006687,TIK20250912138410,1.0,topic
TIK20250503006687,TIK20250523102092,1.0,topic
TIK20250523102092,TIK20250718047155,1.0,topic
TIK20250609107665,TIK20250718047155,1.0,topic
TIK20250609107665,TIK20250803125539,1.0,topic
TIK20250610108181,TIK20250803125539,1.0,topic
TIK20250525020792,TIK20250610108181,1.0,topic
TIK20250525020792,TIK20250620111357,1.0,topic
TIK20250513012040,TIK20250620111357,1.0,topic
TIK20250428004208,TIK20250513012040,1.0,topic
TIK20250428004208,TIK20250618110643,1.0,topic
TIK20250424092890,TIK20250618110643,1.0,topic
TIK20250424092890,TIK20250804052781,1.0,topic
TIK20250804052781,TIK20250926083853,1.0,topic
TIK20250501006079,TIK20250926083853,1.0,topic
TIK20250501006079,TIK20250911074123,1.0,topic
TIK20250625035534,TIK20250911074123,1.0,topic
TIK20250526103073,TIK20250625035534,1.0,topic
TIK20250526103073,TIK20250723049113,1.0,topic
TIK20250723049113,TIK20250922080555,1.0,topic
TIK20250919077234,TIK20250922080555,1.0,topic
TIK20250919077234,TIK20251016149124,1.0,topic
TIK20250814058085,TIK20251016149124,1.0,topic
TIK20250814058085,TIK20250911137962,1.0,topic
TIK20250911137962,TIK20250915076517,1.0,topic
TIK20250706041794,TIK20250915076517,1.0,topic
TIK20250706041794,TIK20251008146500,1.0,topic
TIK20250629114129,TIK20251008146500,1.0,topic
TIK20250629114129,TIK20251006145972,1.0,topic
TIK20250429005261,TIK20251006145972,1.0,topic
TIK20250429005261,TIK20250721121257,1.0,topic
TIK20250721121257,TIK20251007088643,1.0,topic
TIK20250605106437,TIK20251007088643,1.0,topic
TIK20250605106437,TIK20250714119110,1.0,topic
TIK20250714119110,TIK20251007088429,1.0,topic
TIK20251007088429,TIK20251014148592,1.0,topic
TIK20250707116607,TIK20251014148592,1.0,topic
TIK20250519015278,TIK20250707116607,1.0,topic
TIK20250519015008,TIK20250519015278,1.0,topic
TIK20250519015008,TIK20250704039718,1.0,topic
TIK20250624035405,TIK20250704039718,1.0,topic
TIK20250619033208,TIK20250624035405,1.0,topic
TIK20250619033208,TIK20250630037629,1.0,topic
TIK20250630037629,TIK20250916139601,1.0,topic
TIK20250806126460,TIK20250916139601,1.0,topic
TIK20250516013336,TIK20250806126460,1.0,topic
TIK20250516013336,TIK20250731124454,1.0,topic
TIK20250601024763,TIK20250731124454,1.0,topic
TIK20250513011440,TIK20250601024763,1.0,topic
TIK20250513011440,TIK20250521017749,1.0,topic
TIK20250521017749,TIK20250701039222,1.0,topic
TIK20250701039222,TIK20250727050459,1.0,topic
TIK20250727050459,TIK20250921078406,1.0,topic
TIK20250622112027,TIK20250921078406,1.0,topic
TIK20250622112027,TIK20250827066068,1.0,topic
TIK20250620034426,TIK20250827066068,1.0,topic
TIK20250620034426,TIK20250713045347,1.0,topic
