post_id,hour_of_day,day_of_week,is_weekend,user_id,followers,account_age_days,verified,content_length,num_hashtags,sentiment_positive,sentiment_negative,toxicity_score,hour_sin,hour_cos,day_sin,day_cos,has_media,many_hashtags,long_content,sentiment_intensity,high_toxicity,topic_Business,topic_Climate,topic_Education,topic_Entertainment,topic_Fashion,topic_Finance,topic_Food,topic_Gaming,topic_Health,topic_Politics,topic_Science,topic_Sports,topic_Technology,topic_Travel,language_Chinese,language_English,language_French,language_German,language_Hindi,language_Japanese,language_Korean,language_Portuguese,language_Spanish,media_type_Link,media_type_Poll,media_type_Text,media_type_Video,location_Asia,location_Europe,location_North America,location_Oceania,location_South America,location_Unknown,popularity,Authority,Hub,pageranks,modularity_class,eigencentrality
TIK20250610108203,22,1,0,user_294276,9482,1321,0,114,3,0.05,0.227,28.3,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,1,0,0,0.723,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1e-06,1e-06,8.4e-05,3,0.341394
TIK20250421001377,14,0,0,user_226074,76,704,0,84,1,0.173,0.141,3.4,-0.4999999999999997,-0.8660254037844388,0.0,1.0,1,0,0,0.687,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,8.4e-05,29,0.329655
TIK20250419000237,18,5,1,user_474932,21257,2719,0,145,1,0.653,0.037,7.5,-1.0,-1.8369701987210294e-16,-0.9749279121818236,-0.2225209339563146,1,0,1,0.653,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,4e-06,4e-06,9.4e-05,30,0.436145
TIK20250720120928,17,6,1,user_154416,252,3212,0,286,1,0.822,0.077,0.0,-0.9659258262890684,-0.2588190451025206,-0.7818314824680299,0.6234898018587334,1,0,1,0.822,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1e-06,1e-06,6.3e-05,5,0.173845
TIK20250924083371,22,2,0,user_341592,224,302,0,56,4,0.841,0.041,0.0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.2225209339563143,0,0,0,0.841,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,8e-06,8e-06,7.3e-05,5,0.266181
TIK20250630038381,19,0,0,user_477675,7184,2677,0,129,3,0.061,0.819,68.2,-0.9659258262890684,0.2588190451025203,0.0,1.0,1,0,0,0.819,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,8.4e-05,25,0.334992
TIK20250629037377,21,6,1,user_278746,140,2958,0,34,1,0.766,0.054,20.1,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,1,0,0,0.766,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00019,0.00019,0.000109,22,0.442519
TIK20250425093084,4,4,0,user_450608,8248,3142,0,11,3,0.271,0.173,24.3,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,0,0,0.557,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0.0,7.4e-05,14,0.245461
TIK20250806126204,10,2,0,user_358994,108,2525,0,92,4,0.05,0.785,36.4,0.4999999999999999,-0.8660254037844387,0.9749279121818236,-0.2225209339563143,1,0,0,0.785,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1e-06,1e-06,7.1e-05,22,0.317013
TIK20251012147933,18,6,1,user_72894,9815,660,0,155,2,0.157,0.293,19.3,-1.0,-1.8369701987210294e-16,-0.7818314824680299,0.6234898018587334,1,0,1,0.55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1e-06,1e-06,0.000105,3,0.547391
TIK20250501095051,10,3,0,user_140796,707,1325,0,100,2,0.933,0.112,0.0,0.4999999999999999,-0.8660254037844387,0.4338837391175582,-0.900968867902419,0,0,0,0.933,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0,8.6e-05,25,0.308351
TIK20250607107148,20,5,1,user_290485,2532,2802,0,25,2,0.801,0.059,10.4,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1,0,0,0.801,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1e-06,1e-06,6.3e-05,10,0.162219
TIK20250720120945,17,6,1,user_354944,36,2585,0,166,2,0.259,0.108,6.7,-0.9659258262890684,-0.2588190451025206,-0.7818314824680299,0.6234898018587334,1,0,1,0.632,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2e-06,2e-06,9.6e-05,11,0.376229
TIK20250624112669,20,1,0,user_155339,4595,2343,0,29,2,0.154,0.211,7.0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0,0,0,0.635,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1e-06,1e-06,7.2e-05,26,0.28031
TIK20250719047595,17,5,1,user_251057,8705,1528,0,18,4,0.171,0.112,12.2,-0.9659258262890684,-0.2588190451025206,-0.9749279121818236,-0.2225209339563146,1,0,0,0.717,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0.0,8.6e-05,3,0.29934
TIK20250510009965,19,5,1,user_10827,1462,752,0,32,1,0.627,0.031,7.3,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,1,0,0,0.627,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.3e-05,5.3e-05,9.7e-05,0,0.382018
TIK20250428004509,20,0,0,user_498735,93,3307,0,45,3,0.146,0.613,33.1,-0.8660254037844386,0.5000000000000001,0.0,1.0,1,0,0,0.613,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2e-06,2e-06,8.7e-05,29,0.273957
TIK20250421001612,16,0,0,user_158368,8,1680,0,119,2,0.115,0.603,73.4,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0,0,0,0.603,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0,8.7e-05,17,0.271208
TIK20250922080062,16,0,0,user_449216,11,3153,0,61,0,0.061,0.187,0.0,-0.8660254037844385,-0.5000000000000004,0.0,1.0,1,0,0,0.752,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,8.3e-05,31,0.377329
TIK20250929143632,14,0,0,user_383972,33556,907,0,92,2,0.068,0.121,0.0,-0.4999999999999997,-0.8660254037844388,0.0,1.0,1,0,0,0.811,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.7e-05,1.7e-05,8.3e-05,33,0.34604
