Id,platform,hour_of_day,day_of_week,is_weekend,user_id,followers,account_age_days,verified,topic,language,content_length,media_type,num_hashtags,sentiment_category,sentiment_positive,sentiment_negative,sentiment_neutral,toxicity_score,location,hour_sin,hour_cos,day_sin,day_cos,followers_log,has_media,many_hashtags,long_content,sentiment_intensity,high_toxicity,popularity,Label
TIK20250419000000,TikTok,1,5,1,user_426711,137,306,0,Finance,English,147,Image,1,Neutral,0.09,0.279,0.63,29.4,Asia,0.2588190451025207,0.9659258262890684,-0.9749279121818236,-0.2225209339563146,4.927253685157205,1,0,1,0.63,0,0,TIK20250419000000
TIK20250419000036,TikTok,11,5,1,user_190801,1835,1202,0,Food,English,37,Image,5,Positive,0.907,0.131,0.0,22.5,Europe,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,7.515344571180436,1,1,0,0.907,0,0,TIK20250419000036
TIK20250419000054,TikTok,12,5,1,user_150200,129,1895,0,Finance,English,129,Link,1,Neutral,0.11,0.107,0.784,0.0,Asia,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,4.867534450455582,1,0,0,0.784,0,0,TIK20250419000054
TIK20250419000091,TikTok,14,5,1,user_106605,62085,151,0,Fashion,Korean,144,Link,2,Neutral,0.169,0.157,0.674,19.5,Asia,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,11.036275799671376,1,0,0,0.674,0,1,TIK20250419000091
TIK20250419000092,TikTok,14,5,1,user_349137,23,1875,0,Food,Portuguese,125,Text,0,Neutral,0.295,0.0,0.791,0.0,North America,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,3.1780538303479458,0,0,0,0.791,0,0,TIK20250419000092
TIK20250419000123,TikTok,15,5,1,user_124706,282,3426,0,Politics,Arabic,78,Link,3,Positive,0.656,0.085,0.259,15.2,Europe,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,5.645446897643238,1,0,0,0.656,0,0,TIK20250419000123
TIK20250419000133,TikTok,15,5,1,user_388201,4008,980,0,Food,English,112,Poll,1,Neutral,0.159,0.142,0.699,0.0,North America,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,8.296297112642508,1,0,0,0.699,0,0,TIK20250419000133
TIK20250419000159,TikTok,16,5,1,user_161378,143,203,0,Climate,English,143,Link,0,Positive,0.881,0.072,0.047,0.0,Europe,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,4.969813299576001,1,0,0,0.881,0,0,TIK20250419000159
TIK20250419000178,TikTok,17,5,1,user_243837,838,1898,0,Politics,English,106,Text,2,Positive,0.794,0.099,0.106,28.3,North America,-0.9659258262890684,-0.2588190451025206,-0.9749279121818236,-0.2225209339563146,6.732210706467206,0,0,0,0.794,0,0,TIK20250419000178
TIK20250419000180,TikTok,17,5,1,user_415030,78,1887,0,Climate,English,55,Image,0,Neutral,0.175,0.052,0.773,0.0,Asia,-0.9659258262890684,-0.2588190451025206,-0.9749279121818236,-0.2225209339563146,4.3694478524670215,1,0,0,0.773,0,0,TIK20250419000180
TIK20250419000185,TikTok,17,5,1,user_414286,36221,191,0,Finance,English,11,Text,5,Negative,0.032,0.658,0.31,51.7,North America,-0.9659258262890684,-0.2588190451025206,-0.9749279121818236,-0.2225209339563146,10.49742194802448,0,1,0,0.658,0,0,TIK20250419000185
