emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,post_id
2.2346308,-3.8080661,-2.3678298,1.9890758,0.30806857,-0.50366247,-3.1773474,-0.47894272,TIK20250816060057
-2.2891858,-3.4446054,-2.1571186,1.1653336,0.4055693,-0.11125689,-0.43213442,-3.864548,TIK20250817061097
-0.13650712,0.91542274,-4.341813,3.5842555,2.3493876,0.6336139,-0.030623423,-0.5491605,TIK20250607028320
2.0004468,-4.616857,-2.25487,2.5513713,-0.3148223,-1.2355428,-1.6042469,-0.90222895,TIK20250525020459
2.08035,-1.2773154,-3.217447,3.006514,-1.5965812,-2.9633749,0.48849943,-0.767943,TIK20251005145575
0.2754387,0.33899263,-4.6178923,1.7203183,-2.754977,-1.6727921,-1.5647292,1.5337794,TIK20250525021039
-0.6162827,-1.9530606,-1.4458138,1.1816013,1.5900283,0.503419,-3.360846,-4.227218,TIK20250823132006
0.6720293,-1.439059,-0.9578677,3.3565068,1.2875993,1.3843259,-2.0501926,-2.7922497,TIK20250629114162
1.3094538,0.48627692,-5.1252823,2.104494,-2.400405,-1.4819958,-0.97418904,0.8028663,TIK20250607106928
-0.22355258,2.3545034,-2.451369,3.6745732,-0.3114152,0.20067792,-1.1315578,-3.6559474,TIK20250920078177
-0.21497625,-2.8362105,-1.6385822,2.6648657,-0.17686376,0.69556665,-3.9983206,1.170754,TIK20251018090774
-1.5036114,-1.8980806,-2.0245821,1.2952629,-2.1083105,0.033470806,-1.8030666,1.5352463,TIK20250928143536
-1.5289711,-3.3299468,-1.8059256,3.1383054,-3.3121576,-1.5273362,-0.29363728,-0.40389028,TIK20250719120751
0.31855625,-0.7968526,-3.873721,-0.93052083,0.024234172,-0.7591506,-1.9939082,-3.6299725,TIK20250705041130
2.1677184,-3.8011549,-2.4231257,1.9544227,0.37340197,-0.5901614,-2.8936157,-0.4465566,TIK20250907072702
-0.0770878,-0.79408634,-4.0669684,0.8883845,-2.7276423,-2.1091821,-2.22781,1.7520243,TIK20250629037411
0.76587677,-2.3747349,-1.5277301,4.330112,1.4204,1.4354966,-1.8057482,-1.3429039,TIK20250720120775
0.7669454,-1.1016282,-1.553659,3.3458767,-1.1219457,-1.6229348,-3.6823058,2.168756,TIK20250524019871
-0.10167463,-0.33416593,-3.2852464,3.1548374,3.8435314,-0.6646782,0.039218076,-1.4437923,TIK20251011147471
2.0610204,-3.0029123,-2.0657716,1.8942102,0.34370765,-0.04178755,-3.9252934,-0.6412192,TIK20250712118353
-1.4203273,-2.050941,-1.1994013,0.93064415,0.10585548,-3.9791179,0.13615167,-0.7852326,TIK20250809127327
1.5664035,1.2862927,-4.71971,1.6795634,-0.15663756,0.54735047,-1.4850494,-2.1577055,TIK20250816059904
-2.3272104,-3.3654804,-1.975614,1.0938283,0.0357272,-0.097363606,-0.4772608,-3.6940203,TIK20250726122830
1.1813941,-0.35812327,-3.779896,1.0747638,0.09182495,-3.0760384,-2.8166487,2.0282378,TIK20250817060482
-1.2395835,-1.8381737,-2.430451,1.3938165,0.3267642,-3.9962416,-1.1789932,2.0754106,TIK20250906072181
-0.6029101,-2.9052606,-4.844239,2.058412,1.4771606,-0.23620996,0.9226375,0.0124356765,TIK20250720120904
-3.1000447,-2.726608,-1.8329244,0.5041672,1.5939099,-3.7862277,-0.8402754,-1.0941414,TIK20250420000504
-1.0691756,0.7361425,-2.8597152,0.58891976,0.3414596,0.44197136,-2.4703503,-4.567959,TIK20250809127303
0.110169455,-2.8909693,-4.909436,0.6890241,-0.22553438,-1.2515054,0.99205256,-1.2739122,TIK20250907072669
-0.5945069,1.6311351,-2.7840092,0.85661954,-0.44549274,0.15548761,-5.0598984,-1.105481,TIK20250615031620
-2.0054967,-3.484295,-1.9928403,1.3340688,0.51532185,0.05348335,-0.33979967,-3.698678,TIK20251012147933
-2.8175917,0.067448124,-1.2898068,3.260967,0.37451088,-0.3466318,-0.13133432,-4.4291253,TIK20250525020340
-1.315183,-0.80813205,-5.5077834,0.5448341,-1.8648634,-2.0557337,0.4085411,0.34254235,TIK20250726122897
-1.3054184,0.037479024,-1.7371387,4.301114,-2.6432974,-2.000039,0.82479024,-1.3867226,TIK20250705039797
-4.1860175,-1.1708175,-2.4650612,2.148475,-1.4464799,-0.4357875,-1.4342304,1.3170214,TIK20250719120612
3.0935347,-0.43167758,-3.3642418,2.612035,1.3599777,-0.39841822,-2.8085482,-0.6960808,TIK20250824132272
-1.7606219,-4.0158343,-0.45255938,2.260849,0.3753321,0.4579786,-3.0910854,-1.551728,TIK20250510010185
-1.8875597,-2.8053603,-3.1647296,1.7605379,-0.94086134,-2.7107546,1.8580581,-1.4562621,TIK20250503095886
0.23606499,-3.3717134,-1.9450289,2.1140854,2.3519833,-3.2501972,-1.5477982,0.8867486,TIK20250503006507
-1.9804679,-2.3627348,-4.3053384,-1.0439669,0.4625559,-2.196596,-1.2663136,0.24655204,TIK20250928143331
-1.6449342,-1.7666231,-2.0443523,4.912913,0.43543172,-0.12723392,-0.69997513,1.9364389,TIK20250830067416
-3.2199972,0.23199704,-2.269999,2.7087207,-0.6229387,2.1214826,-3.061484,-0.8649907,TIK20250622111887
0.5451995,-3.0919652,0.49314204,3.3844333,0.3427408,-1.6026601,-2.7321317,-2.2562425,TIK20250727123286
-2.128496,0.58068657,-2.0296605,3.7168894,2.5050302,1.5303696,-2.004256,-1.8350232,TIK20250830067356
-0.30592614,-0.94002765,-3.2930584,3.1221108,3.6552813,-0.14741467,-0.047707036,-0.89249504,TIK20250510009918
0.6113273,-3.240073,-1.7968178,0.13671768,0.9830588,-1.2010891,-3.1693535,-3.458367,TIK20250524019553
-0.36843625,-0.076958865,-0.7705524,1.2191907,2.5507593,-2.0482662,-4.705221,-1.5123038,TIK20250817061214
-0.5264856,-1.7061772,-4.099737,0.791401,-2.9927707,1.0688182,-2.861568,-0.5036694,TIK20250615109625
-0.6033866,-2.367931,-3.2999506,0.7925647,-0.6120091,-3.6872022,0.1606137,1.1743349,TIK20250607028483
-2.9532259,1.0240773,-3.167611,0.15752292,-1.6182654,-1.8064624,-0.5558965,-2.5411086,TIK20250727050471
-0.6794525,-0.5785601,-3.9390507,3.4476027,-1.0582926,2.27056,-0.8284827,0.035027996,TIK20250810056718
-2.1229088,-3.0988503,-1.5049385,1.1403157,0.36033675,-4.200061,-0.021047702,-1.0254297,TIK20250906071789
2.4402847,0.48065302,-3.8459158,2.7148407,1.1726756,-0.801368,-1.896739,0.66120595,TIK20250511098333
-1.1334242,-2.42129,-4.8829913,1.4653599,2.0532324,-0.33205566,0.32246426,0.50355965,TIK20250419091323
0.5316365,-2.9604104,0.594417,3.2402976,-0.26024446,-2.0775988,-2.5961666,-2.1281657,TIK20251011147759
-0.7218171,-1.394954,-4.2562785,0.6362646,-3.2368102,0.9386508,-2.6460927,-0.6318291,TIK20250727123278
0.33307445,-0.34505713,-4.234572,-0.6925718,0.53100806,0.039740384,-2.560752,-3.42075,TIK20250719120687
-1.8616308,-0.008750522,-1.7624518,3.5228283,0.90158767,0.11882512,0.29753947,-4.1802063,TIK20250511098599
-0.83724326,1.4865028,-0.70397854,3.6683042,-0.09393405,-3.0537033,-2.3137157,0.8514226,TIK20250713118711
-2.4507198,0.226577,-0.8582685,0.86135894,0.20489103,-3.8065407,-3.7778652,0.20134129,TIK20251005145643
0.8676318,-0.11598618,-3.5180435,1.0889169,-0.31554917,-2.9738996,-2.7502084,2.0647445,TIK20250629114192
-1.8295515,-2.4329917,0.2278583,4.141304,2.0210233,-2.2075472,-1.866353,0.13273865,TIK20250817060691
-2.4922168,-2.0476243,-0.8725773,0.0129002035,-0.05812525,-0.8078456,-4.33587,-2.079078,TIK20250629114190
-0.7412837,2.4685512,-2.4821234,3.3805292,-0.038041446,-0.13076745,-0.5530062,-3.1947312,TIK20250906136310
-0.8842617,-4.1237097,-3.1264694,-0.43429306,-0.97967213,-0.47762558,-2.1398268,-1.3874253,TIK20250803125313
-0.62376815,-2.7453623,-2.3435671,2.8041282,-0.040281583,1.4732034,-3.3340852,1.1951919,TIK20250823064603
-1.4150674,-3.1957052,-1.298978,3.397166,-3.0877364,-2.110057,-0.52553016,-0.1562685,TIK20250504096220
-2.633991,0.6742816,-1.5835547,0.8216832,2.2870786,-1.5091465,-1.9551307,-3.3564873,TIK20250810127698
-4.1279707,-1.8426512,-0.55701673,2.3581703,1.8382591,-2.8069897,-0.74658877,-2.425491,TIK20250601024219
0.0830665,-0.4194384,-4.369613,-0.89685106,0.18606757,-0.59400034,-2.081372,-3.5322354,TIK20250727122996
-2.3388164,-2.9957826,-1.5045673,0.5926495,-2.153068,-0.9628679,-1.183037,-2.9494433,TIK20250628113902
-3.3424687,0.27590603,-1.9400805,2.8814805,-0.6227459,1.9627955,-2.9926398,-1.1530181,TIK20250419091314
-2.1236074,1.0408971,-2.7218773,2.4424145,0.33640575,0.9960052,0.4023758,-1.4633157,TIK20250621034684
3.2399886,-0.22459777,-3.0192132,2.5546875,1.0024269,-0.6638115,-2.617509,-1.3488579,TIK20250720121055
-1.6350635,-0.63701046,-0.29482338,2.7039452,-0.9407138,-5.084823,-1.3418801,-0.5957695,TIK20250906071777
-2.9532928,0.8509532,-2.2528036,1.4572383,-2.3981826,0.6878675,-2.6448271,-2.1755347,TIK20250517013657
-0.81196684,-2.6327446,-1.306116,-0.29557467,-0.36599675,-1.6370412,-2.6752534,0.35379836,TIK20250803125385
0.8639006,0.8439868,-5.0172844,1.6154879,-2.190123,-1.2698058,-1.2393259,0.76751786,TIK20250809056298
-1.4764409,-3.1805959,-1.5823685,3.1117432,-3.0396602,-1.782738,-0.18668595,-0.23330607,TIK20250726122676
-1.267515,-0.13963147,-4.6307263,0.9693379,-2.186559,-1.5950607,0.79525614,-0.23351617,TIK20250713118745
-0.9078092,-3.3406112,-2.3567827,1.4260123,-1.9860046,-1.8854914,0.6162732,-0.12213537,TIK20250511098313
-1.6243407,-1.6298065,-0.6031295,2.1408913,0.4178174,1.0636355,-0.38700977,-1.1703496,TIK20251011089470
1.1901892,-1.0001953,-3.4466348,3.1725168,0.64624894,1.2978956,-0.13903502,-2.9276013,TIK20250727123091
-4.1550717,-1.2758828,-0.17327927,2.712626,0.54643184,-3.0938742,-1.0233234,-0.92666143,TIK20250510010077
-0.22760962,0.17715785,-4.6059995,1.8406152,-2.8613567,-1.4657943,-1.532443,1.7366884,TIK20250803052426
-1.444335,1.0013008,-1.8504866,5.084006,0.58641803,-0.84343123,0.6407526,-0.5372886,TIK20250525020117
0.26857856,-0.08099236,-0.09697211,1.5519283,-1.7031813,-2.4361517,-1.4556841,-2.069496,TIK20250809127277
-1.8842446,-0.39991623,-1.5521989,4.0907235,-2.004278,-0.7736444,0.9551525,-1.1647623,TIK20251005087297
-1.286412,-3.651362,-0.14372025,2.5856526,0.9181089,-3.270376,-0.74343777,-1.7833511,TIK20250816059821
-2.279748,-1.9000502,0.17339936,3.1263535,-2.3570921,-1.1227472,-2.9914186,-0.118094936,TIK20251012089715
