post_id,n2v_0,n2v_1,n2v_2,n2v_3,n2v_4,n2v_5,n2v_6,n2v_7,n2v_8,n2v_9,n2v_10,n2v_11,n2v_12,n2v_13,n2v_14,n2v_15
TIK20250419000000,0.2530381,-0.32322803,2.2644565,0.5871693,-0.39925307,0.94798255,-1.7613635,-0.8858078,-1.2955824,-1.0976284,-1.6444103,0.26645455,-1.1543167,-1.6889536,-0.4048656,-2.3824928
TIK20250419000036,0.18782294,0.049832985,2.0604515,3.1730278,0.86116,-1.0520506,-2.3881729,-1.2798456,0.3146684,-0.041101392,-0.49319544,-0.82865006,0.091161646,0.3135398,0.7214949,-1.2474004
TIK20250419000054,-1.3026125,0.16602299,0.03800889,-0.24539481,0.79004735,0.72531325,-1.5784296,-2.5251856,-0.6469682,0.07175236,-0.8251846,2.8026483,-0.77131736,-1.7206973,-0.068887874,-0.6413113
TIK20250419000091,0.92872053,-0.2211974,2.393992,0.26129186,1.0644599,-0.08793551,-0.0886056,-2.7570662,-1.2934487,-1.4808459,-0.3208659,2.457983,0.8072646,-0.75675505,0.68218833,-0.25487912
TIK20250419000092,-0.9537122,1.3800039,0.17772542,1.0992423,0.69753677,0.9897918,-1.9965136,-2.6214442,-0.21840805,1.2913753,0.008288554,2.4026928,-0.2578319,-0.7208012,-0.36559486,-0.33637142
TIK20250419000123,1.158663,1.6404729,0.7600268,1.9367268,0.7305402,-1.8067869,-0.21614762,-1.4367902,-0.8166117,1.9201281,-1.3502179,0.859235,-1.1628892,-1.2070192,-1.0105523,1.1635487
TIK20250419000133,-1.9497325,-0.15707743,0.7742991,0.2432265,2.3181686,-1.6253597,-1.7507876,-2.533764,-0.12354004,-1.1638304,0.18730299,-0.5728908,-0.8594519,-0.30130914,0.82557404,0.4452665
TIK20250419000159,-0.63503534,-0.767718,0.3383856,1.8927081,1.9498059,0.45814642,-1.4493898,-2.2396133,-1.0827429,-0.20808965,0.031967983,1.4231519,1.0724753,-0.68804955,1.478072,0.8207865
TIK20250419000178,-1.5822074,-1.0771533,0.534013,-0.48871544,0.8016567,0.54827696,-1.371868,-2.4144537,-0.7436316,-0.47851717,-1.1257029,2.6825573,-0.886321,-1.8635342,-0.19065565,-0.7920229
TIK20250419000180,-1.8778595,1.4030497,-0.26476443,0.96068007,0.8711318,1.2296351,-1.4362674,-2.4054654,-0.88624686,0.14755115,-1.2252547,1.55532,-0.7475946,-0.6748865,-0.43534958,-0.6514193
TIK20250419000185,-0.89898086,-0.89400196,1.6701068,2.038692,1.918757,1.1853423,-1.8106095,-1.2542013,-1.4088105,0.006011582,-0.07782897,0.49773306,0.90315264,-0.9929023,1.7592323,0.41134325
TIK20250419000198,0.4427631,0.69813156,0.7718057,1.4204382,1.0290276,0.07576433,-0.99615186,-0.37350866,-0.54310054,0.3000933,0.37359285,0.058830626,-3.1985416,-2.9283679,-0.5654737,-0.1697465
TIK20250419000206,-1.6499312,-1.1029586,-0.07881309,1.6080078,0.64768875,-1.361394,-1.6157423,-2.1077766,-1.6114444,2.3568444,-0.52515584,0.8030539,-0.5878769,-0.53565353,-0.2697852,0.009052411
TIK20250419000211,1.2181431,-1.0889827,2.3966172,1.0192993,1.0936629,1.1899165,-1.9291344,-1.3662816,-0.65366834,0.38535273,1.6676778,1.3334041,-0.11994175,0.27580547,-0.70276695,0.78493744
TIK20250419000219,0.123914875,-1.2286929,2.3209672,1.4396658,0.978768,-2.429953,-0.9540887,-0.8864822,0.21011123,0.6265134,-0.51172125,1.0112097,0.77731454,-0.1148264,-1.9250519,1.0954074
TIK20250419000222,-1.2307256,1.3659593,2.7983198,-0.62224907,0.91194236,0.50608474,-0.62959003,-0.9683413,-1.5981516,0.39318383,-1.2616494,0.8737505,-1.8895199,0.059590746,-0.5489236,-0.0021069604
TIK20250419000237,0.31747848,-0.8829066,1.4400271,1.3742785,0.606392,-2.38227,-0.4756133,-2.1237683,-0.8948928,0.80692166,-0.5988646,0.35739136,1.3200173,-0.6866052,-1.9671314,-0.75438035
TIK20250419000244,1.1043977,-0.4350494,2.01673,1.0965937,1.7947422,0.61473596,-2.9004307,1.3012383,-0.039029166,-0.39668414,-0.9618538,0.27639344,-0.621285,-0.81127334,-1.4218318,1.8120854
TIK20250419000271,0.081412986,-0.32553032,-0.96533066,2.084323,-0.14297608,-1.8277465,-1.9440694,-2.5379786,-1.7491857,1.4133143,-0.12215161,0.44130915,-1.6164483,-0.17885113,-0.79712355,0.56622976
TIK20250419000314,1.1314777,0.7998698,-0.1394897,0.16069566,0.64217126,-0.6649465,-2.0128164,-3.4620068,-0.30793282,-1.0575422,-1.0982035,-0.6939175,-2.7246125,-0.0072195805,-0.661107,0.58999604
TIK20250419000358,0.5449477,0.66300315,1.1293594,1.304991,1.783923,-0.3181882,-0.392159,-0.35499102,-0.9760052,-0.038422484,0.898966,0.11760063,-2.4362025,-3.1450272,-0.2092823,-0.32577464
