Id,Label,topic,language,media_type,location,followers,popularity,user_id
TWI20250419000001,TWI20250419000001,Food,English,Text,South America,1974,0,user_221610
TWI20250419000011,TWI20250419000011,Food,Spanish,Text,North America,113,0,user_251509
TWI20250419000012,TWI20250419000012,Sports,English,Link,Asia,1709,0,user_474312
TWI20250419000015,TWI20250419000015,Business,German,Image,Europe,15,0,user_466356
TWI20250419000016,TWI20250419000016,Education,Portuguese,Image,Africa,12647,0,user_133769
TWI20250419000017,TWI20250419000017,Fashion,English,Link,Asia,9,0,user_15713
TWI20250419000019,TWI20250419000019,Travel,English,Video,North America,284,0,user_350779
TWI20250419000020,TWI20250419000020,Science,Portuguese,Text,Europe,851,0,user_330738
TWI20250419000024,TWI20250419000024,Education,English,Text,North America,1469,1,user_226416
TWI20250419000025,TWI20250419000025,Finance,French,Text,North America,25554,1,user_410718
TWI20250419000032,TWI20250419000032,Climate,Korean,Video,South America,23,0,user_390355
TWI20250419000034,TWI20250419000034,Business,Spanish,Image,North America,29689,1,user_495357
TWI20250419000035,TWI20250419000035,Entertainment,Portuguese,Video,North America,1037,0,user_481860
TWI20250419000042,TWI20250419000042,Travel,German,Text,North America,1854,0,user_83516
TWI20250419000045,TWI20250419000045,Technology,English,Poll,Oceania,3,0,user_433411
TWI20250419000052,TWI20250419000052,Business,Korean,Link,North America,301,0,user_445550
TWI20250419000053,TWI20250419000053,Entertainment,English,Text,Asia,1826,0,user_372422
TWI20250419000055,TWI20250419000055,Politics,English,Link,Asia,0,0,user_309622
TWI20250419000056,TWI20250419000056,Fashion,English,Video,Asia,778,1,user_423686
TWI20250419000058,TWI20250419000058,Sports,English,Video,North America,91,0,user_334172
TWI20250419000062,TWI20250419000062,Business,Japanese,Image,Africa,46,0,user_94342
TWI20250419000068,TWI20250419000068,Sports,English,Image,Asia,1,0,user_318968
TWI20250419000070,TWI20250419000070,Science,French,Video,North America,16,0,user_101224
TWI20250419000071,TWI20250419000071,Sports,English,Video,North America,307,0,user_176476
TWI20250419000072,TWI20250419000072,Gaming,Japanese,Video,North America,31190,1,user_371210
TWI20250419000075,TWI20250419000075,Science,English,Video,North America,367,0,user_226001
TWI20250419000077,TWI20250419000077,Climate,English,Text,North America,305,0,user_39552
TWI20250419000078,TWI20250419000078,Education,Portuguese,Link,North America,26,0,user_449895
TWI20250419000083,TWI20250419000083,Travel,English,Video,Asia,0,0,user_378110
TWI20250419000084,TWI20250419000084,Travel,English,Video,Africa,2895,1,user_337586
TWI20250419000087,TWI20250419000087,Climate,English,Text,Africa,189,0,user_77098
TWI20250419000088,TWI20250419000088,Business,French,Text,Asia,2866,1,user_139998
TWI20250419000098,TWI20250419000098,AI/ML,Chinese,Image,Asia,33,0,user_151900
TWI20250419000106,TWI20250419000106,Finance,English,Text,Asia,456,0,user_210962
TWI20250419000109,TWI20250419000109,Food,English,Video,Europe,4132,0,user_121832
TWI20250419000110,TWI20250419000110,Politics,English,Video,North America,3559,1,user_275297
TWI20250419000111,TWI20250419000111,Sports,English,Text,Asia,18,0,user_464891
TWI20250419000115,TWI20250419000115,Education,English,Text,North America,17,0,user_467454
TWI20250419000116,TWI20250419000116,Travel,English,Image,North America,687,0,user_57664
TWI20250419000119,TWI20250419000119,Gaming,Hindi,Video,North America,3011,0,user_77999
TWI20250419000120,TWI20250419000120,Technology,Korean,Video,Asia,209,1,user_73159
TWI20250419000124,TWI20250419000124,Politics,Spanish,Video,North America,76,0,user_351031
TWI20250419000127,TWI20250419000127,Finance,Spanish,Link,Europe,21,0,user_161621
TWI20250419000141,TWI20250419000141,Entertainment,English,Image,Asia,26,0,user_352018
TWI20250419000142,TWI20250419000142,Finance,English,Text,North America,1513,0,user_410493
TWI20250419000143,TWI20250419000143,AI/ML,Arabic,Text,Europe,9,0,user_324591
TWI20250419000153,TWI20250419000153,Entertainment,English,Image,North America,317,0,user_233636
TWI20250419000154,TWI20250419000154,Science,Spanish,Text,North America,119,0,user_161832
TWI20250419000160,TWI20250419000160,AI/ML,English,Image,North America,69,0,user_5447
TWI20250419000164,TWI20250419000164,Gaming,Hindi,Video,North America,2613,1,user_259075
TWI20250419000165,TWI20250419000165,Education,Japanese,Image,Asia,17,0,user_159880
TWI20250419000171,TWI20250419000171,Travel,English,Link,North America,104,0,user_107013
TWI20250419000173,TWI20250419000173,Health,Hindi,Text,Europe,1971,1,user_329188
TWI20250419000174,TWI20250419000174,Science,Portuguese,Text,North America,662,0,user_175362
TWI20250419000176,TWI20250419000176,Fashion,French,Image,Oceania,13070,1,user_143361
TWI20250419000181,TWI20250419000181,Education,English,Video,North America,292,0,user_290675
TWI20250419000183,TWI20250419000183,Entertainment,English,Text,Europe,40,0,user_134339
TWI20250419000187,TWI20250419000187,Entertainment,English,Video,North America,6736,0,user_66656
TWI20250419000191,TWI20250419000191,Finance,Spanish,Image,North America,3023,1,user_335637
TWI20250419000194,TWI20250419000194,Food,English,Text,Africa,11,0,user_98143
TWI20250419000196,TWI20250419000196,Sports,Spanish,Image,South America,70,0,user_466006
