Id,Label,topic,language,media_type,location,followers,popularity
TWI20250419000001,TWI20250419000001,Food,English,Text,South America,1974,0
TWI20250419000011,TWI20250419000011,Food,Spanish,Text,North America,113,0
TWI20250419000012,TWI20250419000012,Sports,English,Link,Asia,1709,0
TWI20250419000015,TWI20250419000015,Business,German,Image,Europe,15,0
TWI20250419000016,TWI20250419000016,Education,Portuguese,Image,Africa,12647,0
TWI20250419000017,TWI20250419000017,Fashion,English,Link,Asia,9,0
TWI20250419000019,TWI20250419000019,Travel,English,Video,North America,284,0
TWI20250419000020,TWI20250419000020,Science,Portuguese,Text,Europe,851,0
TWI20250419000024,TWI20250419000024,Education,English,Text,North America,1469,1
TWI20250419000025,TWI20250419000025,Finance,French,Text,North America,25554,1
TWI20250419000032,TWI20250419000032,Climate,Korean,Video,South America,23,0
TWI20250419000034,TWI20250419000034,Business,Spanish,Image,North America,29689,1
TWI20250419000035,TWI20250419000035,Entertainment,Portuguese,Video,North America,1037,0
TWI20250419000042,TWI20250419000042,Travel,German,Text,North America,1854,0
TWI20250419000045,TWI20250419000045,Technology,English,Poll,Oceania,3,0
TWI20250419000052,TWI20250419000052,Business,Korean,Link,North America,301,0
TWI20250419000053,TWI20250419000053,Entertainment,English,Text,Asia,1826,0
TWI20250419000055,TWI20250419000055,Politics,English,Link,Asia,0,0
TWI20250419000056,TWI20250419000056,Fashion,English,Video,Asia,778,1
TWI20250419000058,TWI20250419000058,Sports,English,Video,North America,91,0
TWI20250419000062,TWI20250419000062,Business,Japanese,Image,Africa,46,0
TWI20250419000068,TWI20250419000068,Sports,English,Image,Asia,1,0
TWI20250419000070,TWI20250419000070,Science,French,Video,North America,16,0
TWI20250419000071,TWI20250419000071,Sports,English,Video,North America,307,0
TWI20250419000072,TWI20250419000072,Gaming,Japanese,Video,North America,31190,1
TWI20250419000075,TWI20250419000075,Science,English,Video,North America,367,0
TWI20250419000077,TWI20250419000077,Climate,English,Text,North America,305,0
TWI20250419000078,TWI20250419000078,Education,Portuguese,Link,North America,26,0
TWI20250419000083,TWI20250419000083,Travel,English,Video,Asia,0,0
TWI20250419000084,TWI20250419000084,Travel,English,Video,Africa,2895,1
TWI20250419000087,TWI20250419000087,Climate,English,Text,Africa,189,0
TWI20250419000088,TWI20250419000088,Business,French,Text,Asia,2866,1
TWI20250419000098,TWI20250419000098,AI/ML,Chinese,Image,Asia,33,0
TWI20250419000106,TWI20250419000106,Finance,English,Text,Asia,456,0
TWI20250419000109,TWI20250419000109,Food,English,Video,Europe,4132,0
TWI20250419000110,TWI20250419000110,Politics,English,Video,North America,3559,1
TWI20250419000111,TWI20250419000111,Sports,English,Text,Asia,18,0
TWI20250419000115,TWI20250419000115,Education,English,Text,North America,17,0
TWI20250419000116,TWI20250419000116,Travel,English,Image,North America,687,0
TWI20250419000119,TWI20250419000119,Gaming,Hindi,Video,North America,3011,0
TWI20250419000120,TWI20250419000120,Technology,Korean,Video,Asia,209,1
TWI20250419000124,TWI20250419000124,Politics,Spanish,Video,North America,76,0
TWI20250419000127,TWI20250419000127,Finance,Spanish,Link,Europe,21,0
TWI20250419000141,TWI20250419000141,Entertainment,English,Image,Asia,26,0
TWI20250419000142,TWI20250419000142,Finance,English,Text,North America,1513,0
TWI20250419000143,TWI20250419000143,AI/ML,Arabic,Text,Europe,9,0
TWI20250419000153,TWI20250419000153,Entertainment,English,Image,North America,317,0
TWI20250419000154,TWI20250419000154,Science,Spanish,Text,North America,119,0
TWI20250419000160,TWI20250419000160,AI/ML,English,Image,North America,69,0
TWI20250419000164,TWI20250419000164,Gaming,Hindi,Video,North America,2613,1
TWI20250419000165,TWI20250419000165,Education,Japanese,Image,Asia,17,0
TWI20250419000171,TWI20250419000171,Travel,English,Link,North America,104,0
TWI20250419000173,TWI20250419000173,Health,Hindi,Text,Europe,1971,1
TWI20250419000174,TWI20250419000174,Science,Portuguese,Text,North America,662,0
TWI20250419000176,TWI20250419000176,Fashion,French,Image,Oceania,13070,1
TWI20250419000181,TWI20250419000181,Education,English,Video,North America,292,0
TWI20250419000183,TWI20250419000183,Entertainment,English,Text,Europe,40,0
TWI20250419000187,TWI20250419000187,Entertainment,English,Video,North America,6736,0
TWI20250419000191,TWI20250419000191,Finance,Spanish,Image,North America,3023,1
TWI20250419000194,TWI20250419000194,Food,English,Text,Africa,11,0
TWI20250419000196,TWI20250419000196,Sports,Spanish,Image,South America,70,0
TWI20250419000197,TWI20250419000197,Entertainment,English,Poll,Asia,190,0
TWI20250419000201,TWI20250419000201,Fashion,Portuguese,Text,Europe,849,1
TWI20250419000202,TWI20250419000202,Gaming,Portuguese,Text,South America,152,0
TWI20250419000209,TWI20250419000209,Fashion,English,Image,North America,50,0
TWI20250419000214,TWI20250419000214,Sports,Portuguese,Image,North America,9998,1
TWI20250419000227,TWI20250419000227,Politics,Spanish,Image,North America,1600,0
TWI20250419000228,TWI20250419000228,Food,English,Text,Asia,77,0
TWI20250419000229,TWI20250419000229,Education,Spanish,Text,Asia,9556,1
TWI20250419000233,TWI20250419000233,Science,English,Image,Europe,26,0
TWI20250419000238,TWI20250419000238,Food,English,Video,Asia,74,0
TWI20250419000240,TWI20250419000240,Climate,English,Video,Europe,170,0
TWI20250419000241,TWI20250419000241,Business,English,Text,Asia,0,0
TWI20250419000242,TWI20250419000242,Entertainment,Spanish,Video,North America,1900,0
TWI20250419000246,TWI20250419000246,Education,English,Text,Asia,5131,1
TWI20250419000252,TWI20250419000252,Climate,English,Video,Asia,31,0
TWI20250419000254,TWI20250419000254,AI/ML,English,Image,North America,3899,1
TWI20250419000257,TWI20250419000257,Politics,Portuguese,Text,Unknown,12,0
TWI20250419000264,TWI20250419000264,Finance,English,Image,North America,154,0
TWI20250419000266,TWI20250419000266,Sports,Portuguese,Text,South America,3276,1
TWI20250419000267,TWI20250419000267,Business,Japanese,Video,North America,342,0
TWI20250419000269,TWI20250419000269,Health,Spanish,Image,North America,49,0
TWI20250419000272,TWI20250419000272,Science,English,Video,Asia,411433,1
TWI20250419000273,TWI20250419000273,Business,Portuguese,Video,North America,344,0
TWI20250419000276,TWI20250419000276,Finance,Hindi,Video,Europe,990,0
TWI20250419000277,TWI20250419000277,Gaming,Spanish,Text,North America,40,0
TWI20250419000282,TWI20250419000282,Travel,English,Video,Europe,2075,1
TWI20250419000283,TWI20250419000283,Travel,English,Image,Europe,46,0
TWI20250419000285,TWI20250419000285,Climate,English,Image,Oceania,5435,0
TWI20250419000289,TWI20250419000289,Science,Portuguese,Video,North America,33,0
TWI20250419000291,TWI20250419000291,Gaming,Arabic,Image,South America,202,0
TWI20250419000292,TWI20250419000292,Sports,Spanish,Image,Europe,391,0
TWI20250419000298,TWI20250419000298,Business,Spanish,Text,Asia,138,0
TWI20250419000299,TWI20250419000299,Gaming,English,Video,Africa,1160,0
TWI20250419000303,TWI20250419000303,Travel,English,Text,Asia,112,0
TWI20250419000305,TWI20250419000305,Travel,Spanish,Text,Asia,380,0
TWI20250419000306,TWI20250419000306,Education,Portuguese,Text,North America,2889,1
TWI20250419000308,TWI20250419000308,Climate,English,Text,South America,2281,0
TWI20250419000310,TWI20250419000310,Finance,English,Link,Asia,15976,0
TWI20250419000321,TWI20250419000321,Sports,English,Video,Unknown,31,0
TWI20250419000322,TWI20250419000322,Business,Portuguese,Link,Asia,28,0
TWI20250419000324,TWI20250419000324,Sports,English,Link,Asia,188,0
TWI20250419000326,TWI20250419000326,Entertainment,Spanish,Text,Africa,1260,0
TWI20250419000331,TWI20250419000331,Fashion,Spanish,Image,North America,10667,1
TWI20250419000334,TWI20250419000334,Finance,Chinese,Video,North America,8552,0
TWI20250419000335,TWI20250419000335,Science,English,Video,North America,606,0
TWI20250419000336,TWI20250419000336,AI/ML,English,Link,North America,5963,0
TWI20250419000338,TWI20250419000338,Climate,Portuguese,Text,Asia,4,0
TWI20250419000342,TWI20250419000342,Technology,English,Text,Europe,247,0
TWI20250419000349,TWI20250419000349,Climate,Japanese,Video,Asia,155,0
TWI20250419000354,TWI20250419000354,Business,English,Text,Europe,272,0
TWI20250419000356,TWI20250419000356,Entertainment,English,Image,Asia,328,0
TWI20250419000361,TWI20250419000361,Food,Spanish,Video,Asia,842,0
TWI20250419000363,TWI20250419000363,Finance,German,Image,Europe,6011,0
TWI20250419000364,TWI20250419000364,Finance,Spanish,Video,Europe,140,0
TWI20250419000365,TWI20250419000365,Technology,English,Video,North America,19,0
TWI20250419000370,TWI20250419000370,Business,English,Text,Europe,29,0
TWI20250419000371,TWI20250419000371,Food,Portuguese,Text,Africa,3495,0
TWI20250419000375,TWI20250419000375,Education,English,Text,North America,95,0
TWI20250419000381,TWI20250419000381,Education,English,Text,South America,205,0
TWI20250419000383,TWI20250419000383,Food,English,Link,Asia,1440,0
TWI20250419000385,TWI20250419000385,Science,Japanese,Link,Asia,4,0
TWI20250419000387,TWI20250419000387,Climate,Portuguese,Image,Asia,84479,1
TWI20250419000389,TWI20250419000389,Food,English,Video,Europe,531,0
TWI20250419000391,TWI20250419000391,Science,English,Video,North America,9402,0
TWI20250419000397,TWI20250419000397,Sports,Spanish,Text,North America,55,0
TWI20250419000398,TWI20250419000398,Fashion,German,Video,North America,41,0
TWI20250419000401,TWI20250419000401,Food,English,Image,Europe,1954,0
TWI20250420000403,TWI20250420000403,Science,English,Link,Europe,4118,1
TWI20250420000404,TWI20250420000404,Gaming,English,Poll,Unknown,58,0
TWI20250420000410,TWI20250420000410,Food,English,Link,Africa,431,0
TWI20250420000412,TWI20250420000412,Entertainment,English,Image,Asia,128,0
TWI20250420000429,TWI20250420000429,Travel,English,Video,Asia,225,0
TWI20250420000434,TWI20250420000434,Sports,French,Text,Asia,922,0
TWI20250420000444,TWI20250420000444,Business,English,Image,North America,55,0
TWI20250420000448,TWI20250420000448,Finance,English,Text,Europe,318,0
TWI20250420000453,TWI20250420000453,Science,French,Text,Asia,241,0
TWI20250420000454,TWI20250420000454,Education,English,Image,Asia,4104,1
TWI20250420000455,TWI20250420000455,Entertainment,Arabic,Text,North America,766,0
TWI20250420000462,TWI20250420000462,AI/ML,English,Image,Europe,471,0
TWI20250420000466,TWI20250420000466,Science,English,Poll,South America,595,0
TWI20250420000478,TWI20250420000478,Travel,English,Text,Asia,8968,0
TWI20250420000479,TWI20250420000479,Science,English,Image,Europe,57344,1
TWI20250420000489,TWI20250420000489,Health,Portuguese,Link,Africa,2146,0
TWI20250420000500,TWI20250420000500,Gaming,English,Video,Asia,8445,1
