Id,Label,topic,language,media_type,location,followers,popularity,pageranks,modularity_class,Authority,Hub,indegree,outdegree,Degree,eigencentrality
YOU20250419000022,YOU20250419000022,Entertainment,English,Text,Europe,66,0,0.000018,17,0,0.011957,0,18,18,0
YOU20250419000027,YOU20250419000027,AI/ML,Chinese,Image,North America,6062,0,0.000018,15,0,0.009996,0,18,18,0
YOU20250419000038,YOU20250419000038,Climate,Korean,Text,Europe,746,0,0.000018,44,0,0.009683,0,18,18,0
YOU20250419000059,YOU20250419000059,Travel,Arabic,Text,South America,32198,1,0.000018,6,0,0.009839,0,18,18,0
YOU20250419000065,YOU20250419000065,Sports,Spanish,Video,Asia,154669,1,0.000018,21,0,0.009962,0,18,18,0
YOU20250419000073,YOU20250419000073,Entertainment,Spanish,Image,North America,32,0,0.000018,3,0,0.011644,0,18,18,0
YOU20250419000074,YOU20250419000074,Science,Korean,Image,Europe,9628,0,0.000018,5,0,0.009508,0,18,18,0
YOU20250419000081,YOU20250419000081,Travel,Spanish,Text,Asia,53404,1,0.000018,27,0,0.009079,0,18,18,0
YOU20250419000086,YOU20250419000086,Technology,Japanese,Video,Asia,128,0,0.000018,22,0,0.010768,0,18,18,0
YOU20250419000096,YOU20250419000096,Entertainment,English,Text,Europe,7432,0,0.000019,20,0.000979,0.009115,1,17,18,0.001731
YOU20250419000097,YOU20250419000097,Climate,English,Image,Asia,888,0,0.000018,31,0,0.012372,0,18,18,0
YOU20250419000107,YOU20250419000107,Sports,English,Link,Asia,2010,0,0.000018,27,0,0.009669,0,18,18,0
YOU20250419000128,YOU20250419000128,Finance,English,Text,Asia,39081,0,0.000018,36,0,0.008614,0,18,18,0
YOU20250419000156,YOU20250419000156,Entertainment,English,Link,North America,16571,0,0.000018,38,0,0.011407,0,18,18,0
YOU20250419000161,YOU20250419000161,Fashion,English,Text,North America,3,0,0.000018,14,0,0.01077,0,18,18,0
YOU20250419000162,YOU20250419000162,Food,English,Text,Asia,14984,1,0.000018,26,0,0.008087,0,18,18,0
YOU20250419000168,YOU20250419000168,Business,English,Video,Asia,4004,0,0.000018,38,0,0.010354,0,18,18,0
YOU20250419000172,YOU20250419000172,Finance,Portuguese,Video,Africa,126,0,0.000018,33,0,0.01199,0,18,18,0
YOU20250419000186,YOU20250419000186,Technology,Spanish,Text,Unknown,515116,1,0.000018,2,0,0.009846,0,18,18,0
YOU20250419000190,YOU20250419000190,Climate,Arabic,Video,North America,12,0,0.000018,37,0,0.011419,0,18,18,0
YOU20250419000195,YOU20250419000195,Travel,Japanese,Image,Oceania,25071,1,0.000018,6,0,0.012283,0,18,18,0
YOU20250419000204,YOU20250419000204,Science,Korean,Image,North America,47,0,0.000018,31,0,0.011124,0,18,18,0
YOU20250419000205,YOU20250419000205,Gaming,Portuguese,Text,North America,34,0,0.000018,24,0,0.010658,0,18,18,0
YOU20250419000208,YOU20250419000208,Business,English,Image,Europe,14786,1,0.000018,6,0,0.012267,0,18,18,0
YOU20250419000212,YOU20250419000212,Climate,English,Video,South America,588884,1,0.000018,29,0,0.009626,0,18,18,0
YOU20250419000230,YOU20250419000230,Entertainment,Portuguese,Image,Africa,4415,0,0.000018,20,0,0.00844,0,18,18,0
YOU20250419000236,YOU20250419000236,Climate,English,Poll,North America,39363,1,0.000018,2,0,0.011062,0,18,18,0
YOU20250419000239,YOU20250419000239,Science,English,Image,Unknown,2426,0,0.000018,22,0,0.009853,0,18,18,0
YOU20250419000250,YOU20250419000250,Politics,Chinese,Poll,Asia,2597,0,0.000018,31,0,0.009771,0,18,18,0
YOU20250419000255,YOU20250419000255,Business,French,Link,North America,11231763,1,0.000018,30,0,0.012805,0,18,18,0
YOU20250419000258,YOU20250419000258,Science,English,Video,Asia,16761,1,0.000018,46,0,0.009526,0,18,18,0
YOU20250419000270,YOU20250419000270,Climate,Arabic,Video,Asia,4773,0,0.000018,24,0,0.010991,0,18,18,0
