post_id,hour_of_day,day_of_week,is_weekend,user_id,followers,account_age_days,verified,content_length,num_hashtags,sentiment_positive,sentiment_negative,toxicity_score,hour_sin,hour_cos,day_sin,day_cos,has_media,many_hashtags,long_content,sentiment_intensity,high_toxicity,topic_Business,topic_Climate,topic_Education,topic_Entertainment,topic_Fashion,topic_Finance,topic_Food,topic_Gaming,topic_Health,topic_Politics,topic_Science,topic_Sports,topic_Technology,topic_Travel,language_Chinese,language_English,language_French,language_German,language_Hindi,language_Japanese,language_Korean,language_Portuguese,language_Spanish,media_type_Link,media_type_Poll,media_type_Text,media_type_Video,location_Asia,location_Europe,location_North America,location_Oceania,location_South America,location_Unknown,popularity,Degree,Authority,Hub,pageranks,modularity_class,eigencentrality
YOU20250815058640,16,4,0,user_189223,82,1177,0,130,0,0.897,0.037,0.0,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,1,0,0,0.897,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7e-06,7e-06,4.9e-05,3,0.255905
YOU20251001085151,15,2,0,user_137817,5854,3129,0,72,4,0.645,0.059,36.2,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.2225209339563143,1,0,0,0.645,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,6e-06,1e-06,5.7e-05,34,0.320427
YOU20251013090060,19,0,0,user_180924,100,1841,0,125,1,0.875,0.106,0.0,-0.9659258262890684,0.2588190451025203,0.0,1.0,1,0,0,0.875,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,2e-06,2e-06,5.1e-05,28,0.221006
YOU20250520101316,19,1,0,user_451907,140,2114,0,37,2,0.17,0.299,32.3,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,1,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,0.0,0.0,5.8e-05,14,0.276367
YOU20250813056872,9,2,0,user_459062,302,2972,0,164,3,0.753,0.051,0.0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.2225209339563143,1,0,1,0.753,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2.2e-05,2.2e-05,5e-05,29,0.246773
YOU20250502095658,21,4,0,user_211308,3801,3518,0,64,3,0.84,0.146,27.6,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,0,0,0,0.84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,5e-06,1e-06,5e-05,13,0.241582
YOU20251001085079,14,2,0,user_468312,1248,2765,0,243,5,0.246,0.011,5.4,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.2225209339563143,1,1,1,0.742,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0.000149,2.3e-05,5.7e-05,4,0.339382
YOU20250625035749,15,2,0,user_26288,270,1560,0,219,1,0.179,0.017,0.0,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.2225209339563143,0,0,1,0.804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,6,2e-06,2e-06,5.6e-05,29,0.362997
YOU20250913075078,18,5,1,user_472771,852,46,0,127,0,0.897,0.036,7.8,-1.0,-1.8369701987210294e-16,-0.9749279121818236,-0.2225209339563146,0,0,0,0.897,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,3e-06,0.0,5e-05,22,0.239948
YOU20250905070653,10,4,0,user_8294,3551,119,0,95,2,0.804,0.016,14.9,0.4999999999999999,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,0,0,0.804,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,5,1.9e-05,3e-06,5e-05,13,0.237164
