Id,Label,topic,language,media_type,location,followers,popularity
YOU20250419000022,YOU20250419000022,Entertainment,English,Text,Europe,66,0
YOU20250419000027,YOU20250419000027,AI/ML,Chinese,Image,North America,6062,0
YOU20250419000038,YOU20250419000038,Climate,Korean,Text,Europe,746,0
YOU20250419000059,YOU20250419000059,Travel,Arabic,Text,South America,32198,1
YOU20250419000065,YOU20250419000065,Sports,Spanish,Video,Asia,154669,1
YOU20250419000073,YOU20250419000073,Entertainment,Spanish,Image,North America,32,0
YOU20250419000074,YOU20250419000074,Science,Korean,Image,Europe,9628,0
YOU20250419000081,YOU20250419000081,Travel,Spanish,Text,Asia,53404,1
YOU20250419000086,YOU20250419000086,Technology,Japanese,Video,Asia,128,0
YOU20250419000096,YOU20250419000096,Entertainment,English,Text,Europe,7432,0
YOU20250419000097,YOU20250419000097,Climate,English,Image,Asia,888,0
YOU20250419000107,YOU20250419000107,Sports,English,Link,Asia,2010,0
YOU20250419000128,YOU20250419000128,Finance,English,Text,Asia,39081,0
YOU20250419000156,YOU20250419000156,Entertainment,English,Link,North America,16571,0
YOU20250419000161,YOU20250419000161,Fashion,English,Text,North America,3,0
YOU20250419000162,YOU20250419000162,Food,English,Text,Asia,14984,1
YOU20250419000168,YOU20250419000168,Business,English,Video,Asia,4004,0
YOU20250419000172,YOU20250419000172,Finance,Portuguese,Video,Africa,126,0
YOU20250419000186,YOU20250419000186,Technology,Spanish,Text,Unknown,515116,1
YOU20250419000190,YOU20250419000190,Climate,Arabic,Video,North America,12,0
YOU20250419000195,YOU20250419000195,Travel,Japanese,Image,Oceania,25071,1
YOU20250419000204,YOU20250419000204,Science,Korean,Image,North America,47,0
YOU20250419000205,YOU20250419000205,Gaming,Portuguese,Text,North America,34,0
YOU20250419000208,YOU20250419000208,Business,English,Image,Europe,14786,1
YOU20250419000212,YOU20250419000212,Climate,English,Video,South America,588884,1
YOU20250419000230,YOU20250419000230,Entertainment,Portuguese,Image,Africa,4415,0
YOU20250419000236,YOU20250419000236,Climate,English,Poll,North America,39363,1
YOU20250419000239,YOU20250419000239,Science,English,Image,Unknown,2426,0
YOU20250419000250,YOU20250419000250,Politics,Chinese,Poll,Asia,2597,0
YOU20250419000255,YOU20250419000255,Business,French,Link,North America,11231763,1
YOU20250419000258,YOU20250419000258,Science,English,Video,Asia,16761,1
YOU20250419000270,YOU20250419000270,Climate,Arabic,Video,Asia,4773,0
YOU20250419000279,YOU20250419000279,Science,English,Image,Asia,50,0
