emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,post_id
-3.1337354,-0.41362488,1.3520738,1.5449023,-0.1565432,-2.2509158,-2.7959602,-2.3377488,YOU20250530022849
1.0173239,-0.5664835,-2.735786,2.4843867,1.6133925,1.6021336,-2.4109569,-2.7998047,YOU20250605025484
-1.6075537,2.386538,-0.35006675,1.2373879,0.5798974,-0.57221717,-3.4011078,-3.7872236,YOU20250907072766
0.59813803,1.3900356,-0.21545234,2.4313002,-0.64716434,-2.4498134,-2.9282513,-4.518009,YOU20250619033501
1.7750546,-0.6481887,0.4688246,2.4715402,1.7386742,-0.7515554,1.4348575,-1.9556445,YOU20250807126498
-2.539251,2.070115,0.49386176,2.0585997,4.392592,-1.462065,1.0127236,-1.5941396,YOU20250808127022
-1.6154865,3.1528726,-1.9264421,3.3881109,1.697213,-2.1070926,-1.3819264,-1.8271438,YOU20250619034202
-1.1309367,0.10552015,-0.035185922,2.466845,-1.2015591,-3.0882845,-2.5974362,-3.3022754,YOU20250519015929
0.06484101,-1.2163576,-1.6329881,0.72573245,4.8021517,1.3076401,-2.4019408,-0.921911,YOU20250607028517
1.6122091,2.7425115,-0.18178467,1.203865,1.7637842,-1.4483486,-1.3707008,-3.659599,YOU20250731124422
-1.7490942,-1.8963475,3.2821765,0.53908163,4.225367,-1.6338327,-0.46522442,-1.1594847,YOU20250429094538
-0.8909342,-1.4972783,0.23378433,0.6553677,2.7330081,-2.1771991,0.6696106,-0.47457805,YOU20250922079743
-4.0210776,-0.8065937,1.1882969,3.4556115,0.46981376,-1.3623042,-0.22811726,-2.2988303,YOU20250903069679
-1.7655728,2.6802227,-1.3845748,1.1160917,2.712411,-1.5926238,-0.46857816,-4.036906,YOU20250915075876
1.2354972,-0.48281512,-1.3482566,1.3209516,3.8910863,2.206905,-2.6463454,-2.4428747,YOU20250718047182
-0.26017082,-0.3510721,1.3890566,-0.41793284,4.384336,-1.0229261,-4.0193987,-0.27545097,YOU20250531023983
1.1654053,-1.5664221,-0.12140739,3.5405455,4.248777,0.9505261,-0.7793629,0.5844059,YOU20250703115436
2.853639,-1.6972575,-0.8728904,2.0739422,4.379594,0.719005,-0.23198958,-2.178182,YOU20250729051149
-1.0788528,3.07252,-2.564189,2.773697,2.3210008,-1.5644495,-1.0773464,-2.4342241,YOU20250716046257
-1.3366114,1.1489122,-2.9254534,2.7765265,2.7197237,1.1003705,-1.3320745,-1.5848188,YOU20251012089760
2.083682,-0.6262701,2.069968,1.783758,0.82844466,-2.0625055,-0.31031382,-4.434239,YOU20250721048740
-2.2789872,-2.5263941,-2.040967,2.4674604,2.8660295,0.573119,0.35485244,-2.5580926,YOU20250805053934
-3.387649,1.0688492,-0.86587244,2.2095225,0.76533514,-1.0944763,-0.19048272,-3.6837876,YOU20250814058107
-1.0191907,2.3415833,2.581289,3.5932403,2.3310428,0.16666898,-3.263382,-0.11780175,YOU20250425093383
-0.35686815,0.5917897,-0.80103576,2.3465204,-0.9056105,-2.478758,-3.0562816,-3.9828377,YOU20250907072342
2.1963112,-1.8631389,0.7122277,4.727414,1.722138,1.2670316,-0.6835741,-1.6127343,YOU20250904070411
-0.026633902,-3.7426624,0.9644507,4.69621,1.1138443,-0.4069019,-0.02579009,-1.3032,YOU20251001144258
-3.6515565,-0.15857849,-0.20056641,2.6697085,0.1648442,-1.448224,-0.2854016,-3.2479393,YOU20250706041960
-2.0899963,-2.3645966,-1.501581,3.9222927,-0.58861285,-1.094755,-1.6720008,-2.8412063,YOU20250617032513
