fp_to_tn_corrected_false_positives,tp_to_fn_lost_true_positives,fn_to_tp_recovered_positives,tn_to_fp_new_errors,platform,seed,variant
18,9,14,21,Facebook,42,unweighted_homophily
28,16,6,12,Facebook,42,similarity_knn
32,18,12,22,Facebook,42,data_driven_homophily
55,30,13,29,Facebook,42,data_driven_homophily+node2vec64
13,12,11,34,Facebook,123,unweighted_homophily
34,15,6,18,Facebook,123,similarity_knn
30,18,7,34,Facebook,123,data_driven_homophily
65,22,8,32,Facebook,123,data_driven_homophily+node2vec64
26,10,12,21,Facebook,2024,unweighted_homophily
22,9,16,28,Facebook,2024,similarity_knn
31,14,10,27,Facebook,2024,data_driven_homophily
65,30,13,27,Facebook,2024,data_driven_homophily+node2vec64
27,7,4,19,Facebook,7,unweighted_homophily
23,13,9,37,Facebook,7,similarity_knn
37,20,4,25,Facebook,7,data_driven_homophily
50,22,10,24,Facebook,7,data_driven_homophily+node2vec64
27,12,4,31,Facebook,99,unweighted_homophily
26,11,14,33,Facebook,99,similarity_knn
32,14,7,29,Facebook,99,data_driven_homophily
72,21,13,25,Facebook,99,data_driven_homophily+node2vec64
