n_nodes,n_edges,density,avg_degree,max_degree,n_train_train_edges,n_train_test_edges,n_test_test_edges,platform,seed,variant
7527,30428,0.0010742794625679382,8.085027235286303,11,20375,10053,0,Facebook,42,unweighted_homophily
7527,27615,0.0009749647482191932,7.337584695097648,15,18579,9036,0,Facebook,42,similarity_knn
7527,30428,0.0010742794625679382,8.085027235286303,11,20375,10053,0,Facebook,42,data_driven_homophily
7527,30456,0.0010752680199805813,8.092467118373854,11,20211,10245,0,Facebook,123,unweighted_homophily
7527,27552,0.0009727404940407464,7.320844958150658,16,18516,9036,0,Facebook,123,similarity_knn
7527,30456,0.0010752680199805813,8.092467118373854,11,20211,10245,0,Facebook,123,data_driven_homophily
7527,30449,0.0010750208806274205,8.090607147601967,11,20221,10228,0,Facebook,2024,unweighted_homophily
7527,27628,0.0009754237213036347,7.341038926531154,19,18592,9036,0,Facebook,2024,similarity_knn
7527,30449,0.0010750208806274205,8.090607147601967,11,20221,10228,0,Facebook,2024,data_driven_homophily
7527,30459,0.0010753739368462216,8.093264248704664,11,20383,10076,0,Facebook,7,unweighted_homophily
7527,27555,0.0009728464109063868,7.321642088481466,16,18519,9036,0,Facebook,7,similarity_knn
7527,30459,0.0010753739368462216,8.093264248704664,11,20383,10076,0,Facebook,7,data_driven_homophily
7527,30416,0.0010738557951053768,8.081838713963066,11,20242,10174,0,Facebook,99,unweighted_homophily
7527,27636,0.0009757061662786755,7.343164607413312,15,18600,9036,0,Facebook,99,similarity_knn
7527,30416,0.0010738557951053768,8.081838713963066,11,20242,10174,0,Facebook,99,data_driven_homophily
