relation,n_unique,cardinality_ratio,mi_raw,mi_null,mi_corrected,platform,seed
same_author,5979,0.9930244145490782,0.4985124451264787,0.4985124451264787,0.0,Facebook,42
same_location,7,0.001162597575153629,0.00045369926573450917,0.00044882491700327525,4.874348731233921e-06,Facebook,42
same_topic,15,0.002491280518186348,0.0005973876191666602,0.001167910411780247,-0.0005705227926135867,Facebook,42
same_language,10,0.0016608536787908986,0.0017697830547485464,0.0006450477069293093,0.0011247353478192371,Facebook,42
same_media_type,5,0.0008304268393954493,0.00013608163973596182,0.0002930397205502885,-0.00015695808081432665,Facebook,42
same_toxicity_bin,11,0.0018269390466699883,0.0009492708708184212,0.0007879641722856434,0.0001613066985327778,Facebook,42
same_author,5988,0.9945191828599901,0.49828220191752337,0.49903432973344397,-0.0007521278159206002,Facebook,123
same_location,7,0.001162597575153629,0.0004954418311446315,0.0005939686012776903,-9.852677013305882e-05,Facebook,123
same_topic,15,0.002491280518186348,0.0006074234842678647,0.0011393730621738706,-0.0005319495779060059,Facebook,123
same_language,10,0.0016608536787908986,0.0012825349793524898,0.0006661034481238624,0.0006164315312286275,Facebook,123
same_media_type,5,0.0008304268393954493,0.00021223778752741534,0.0002940584031985452,-8.182061567112988e-05,Facebook,123
same_toxicity_bin,11,0.0018269390466699883,0.0006406976111900282,0.0008422624473483166,-0.00020156483615828833,Facebook,123
same_author,5986,0.9941870121242319,0.49851244512647874,0.49888083426080704,-0.00036838913432829523,Facebook,2024
same_location,7,0.001162597575153629,0.00041946219407464763,0.0005670213176632761,-0.0001475591235886285,Facebook,2024
same_topic,15,0.002491280518186348,0.0008325337246862935,0.0010946631116805076,-0.00026212938699421407,Facebook,2024
same_language,10,0.0016608536787908986,0.0009903257421517708,0.0007401762469561157,0.00025014949519565517,Facebook,2024
same_media_type,5,0.0008304268393954493,0.00031698830645499054,0.00030124758703027426,1.5740719424716288e-05,Facebook,2024
same_toxicity_bin,11,0.0018269390466699883,0.0008066011218698897,0.0008534983224185812,-4.689720054869143e-05,Facebook,2024
same_author,5983,0.9936887560205946,0.49828220191752337,0.4985891928627971,-0.00030699094527375514,Facebook,7
same_location,7,0.001162597575153629,0.0005217309110829432,0.0004890346348365185,3.269627624642474e-05,Facebook,7
same_topic,15,0.002491280518186348,0.0005501206212801882,0.0013036572640779548,-0.0007535366427977666,Facebook,7
same_language,10,0.0016608536787908986,0.000757890658047617,0.0006569548494809342,0.00010093580856668281,Facebook,7
same_media_type,5,0.0008304268393954493,0.00012628392211363332,0.0003284490795017192,-0.00020216515738808588,Facebook,7
same_toxicity_bin,11,0.0018269390466699883,0.0009052173698816772,0.0008378674910260737,6.73498788556035e-05,Facebook,7
same_author,5985,0.9940209267563528,0.498742688335434,0.4988654847135434,-0.00012279637810941324,Facebook,99
same_location,7,0.001162597575153629,0.0004707517727932792,0.0005747341783252433,-0.0001039824055319641,Facebook,99
same_topic,15,0.002491280518186348,0.0006767791469052542,0.0011917796287665848,-0.0005150004818613306,Facebook,99
same_language,10,0.0016608536787908986,0.0009579734337628633,0.0006758851374009396,0.0002820882963619237,Facebook,99
same_media_type,5,0.0008304268393954493,0.00033081544183923006,0.00031690101636333546,1.3914425475894604e-05,Facebook,99
same_toxicity_bin,11,0.0018269390466699883,0.0012096680668593693,0.0008828984836728879,0.0003267695831864814,Facebook,99
