fp_to_tn_corrected_false_positives,tp_to_fn_lost_true_positives,fn_to_tp_recovered_positives,tn_to_fp_new_errors,platform,seed,variant
103,38,25,58,Instagram,42,unweighted_homophily
104,37,23,70,Instagram,42,similarity_knn
123,41,18,37,Instagram,42,data_driven_homophily
183,63,26,74,Instagram,42,data_driven_homophily+node2vec64
136,42,14,33,Instagram,123,unweighted_homophily
107,38,14,52,Instagram,123,similarity_knn
130,48,18,50,Instagram,123,data_driven_homophily
175,70,18,58,Instagram,123,data_driven_homophily+node2vec64
123,38,16,39,Instagram,2024,unweighted_homophily
71,27,37,114,Instagram,2024,similarity_knn
123,38,17,41,Instagram,2024,data_driven_homophily
179,62,16,66,Instagram,2024,data_driven_homophily+node2vec64
102,42,8,53,Instagram,7,unweighted_homophily
66,32,28,91,Instagram,7,similarity_knn
126,31,12,51,Instagram,7,data_driven_homophily
162,71,20,80,Instagram,7,data_driven_homophily+node2vec64
73,21,22,78,Instagram,99,unweighted_homophily
88,28,20,71,Instagram,99,similarity_knn
147,38,13,60,Instagram,99,data_driven_homophily
204,67,14,67,Instagram,99,data_driven_homophily+node2vec64
