relation,n_unique,cardinality_ratio,mi_raw,mi_null,mi_corrected,platform,seed
same_author,23612,0.9774797151846332,0.49189659366335425,0.49110526081866357,0.0007913328446906842,Instagram,42
same_location,7,0.00028978307666832257,0.00016065620739998468,0.00012195449438494344,3.8701713015041236e-05,Instagram,42
same_topic,15,0.0006209637357178341,0.00028669592671294597,0.00027817390339631847,8.522023316627503e-06,Instagram,42
same_language,10,0.0004139758238118894,9.80495495828855e-05,0.00017384893047675833,-7.579938089387282e-05,Instagram,42
same_media_type,5,0.0002069879119059447,2.220165989653966e-05,7.972103578457041e-05,-5.7519375888030746e-05,Instagram,42
same_toxicity_bin,11,0.0004553734061930783,0.00022680785601298,0.00020255961087117395,2.424824514180604e-05,Instagram,42
same_author,23596,0.9768173538665342,0.4916020530988663,0.49090546858995904,0.0006965845089072498,Instagram,123
same_location,7,0.00028978307666832257,9.090291757170299e-05,0.0001263667495804077,-3.54638320087047e-05,Instagram,123
same_topic,15,0.0006209637357178341,0.00047593135187540964,0.0002956666240622861,0.00018026472781312354,Instagram,123
same_language,10,0.0004139758238118894,0.00014732260364613142,0.00021088862634948102,-6.35660227033496e-05,Instagram,123
same_media_type,5,0.0002069879119059447,7.778330255509697e-05,7.521533812680179e-05,2.5679644282951774e-06,Instagram,123
same_toxicity_bin,11,0.0004553734061930783,0.00016060455000423308,0.00020638715986515802,-4.5782609860924934e-05,Instagram,123
same_author,23605,0.9771899321079649,0.4913010401050266,0.4909287896262838,0.00037225047874284156,Instagram,2024
same_location,7,0.00028978307666832257,0.00018679878005457493,0.0001298559285079222,5.694285154665273e-05,Instagram,2024
same_topic,15,0.0006209637357178341,0.00028464187604030494,0.00029258514822692107,-7.94327218661613e-06,Instagram,2024
same_language,10,0.0004139758238118894,8.616056341687744e-05,0.00018270491572511016,-9.654435230823272e-05,Instagram,2024
same_media_type,5,0.0002069879119059447,9.276438481103239e-05,8.788726495454988e-05,4.877119856482501e-06,Instagram,2024
same_toxicity_bin,11,0.0004553734061930783,0.0001853659654156379,0.00020746782128701084,-2.2101855871372943e-05,Instagram,2024
same_author,23583,0.9762791852955788,0.49102816074867583,0.49061978814642926,0.0004083726022465761,Instagram,7
same_location,7,0.00028978307666832257,0.00011242551402952661,0.00011603648540209216,-3.610971372565555e-06,Instagram,7
same_topic,15,0.0006209637357178341,0.00041423262040106434,0.0003120602372314515,0.00010217238316961283,Instagram,7
same_language,10,0.0004139758238118894,0.0001319034028281034,0.00017073698814241213,-3.883358531430874e-05,Instagram,7
same_media_type,5,0.0002069879119059447,9.223978622054096e-06,7.682941523974862e-05,-6.760543661769453e-05,Instagram,7
same_toxicity_bin,11,0.0004553734061930783,0.00020172510294818972,0.00017658941932034423,2.513568362784549e-05,Instagram,7
same_author,23605,0.9771899321079649,0.49133676813190835,0.49075178338697295,0.0005849847449354018,Instagram,99
same_location,7,0.00028978307666832257,4.640215659474853e-05,0.00010720350347292428,-6.080134687817575e-05,Instagram,99
same_topic,15,0.0006209637357178341,0.0004092332000191698,0.0002794512941750172,0.0001297819058441526,Instagram,99
same_language,10,0.0004139758238118894,0.00014980954629084664,0.0001883183143794577,-3.8508768088611056e-05,Instagram,99
same_media_type,5,0.0002069879119059447,6.130341846592724e-06,9.270761067335584e-05,-8.657726882676312e-05,Instagram,99
same_toxicity_bin,11,0.0004553734061930783,0.0001267956506034694,0.00022030817103460814,-9.351252043113874e-05,Instagram,99
