fp_to_tn_corrected_false_positives,tp_to_fn_lost_true_positives,fn_to_tp_recovered_positives,tn_to_fp_new_errors,platform,seed,variant
28,7,9,47,Tiktok,42,unweighted_homophily
43,19,10,35,Tiktok,42,similarity_knn
53,21,11,43,Tiktok,42,data_driven_homophily
67,32,17,50,Tiktok,42,data_driven_homophily+node2vec64
72,40,7,25,Tiktok,123,unweighted_homophily
30,11,13,33,Tiktok,123,similarity_knn
87,48,12,31,Tiktok,123,data_driven_homophily
89,41,13,41,Tiktok,123,data_driven_homophily+node2vec64
31,11,11,42,Tiktok,2024,unweighted_homophily
59,21,11,24,Tiktok,2024,similarity_knn
48,12,8,41,Tiktok,2024,data_driven_homophily
71,26,15,44,Tiktok,2024,data_driven_homophily+node2vec64
48,12,11,37,Tiktok,7,unweighted_homophily
61,18,6,19,Tiktok,7,similarity_knn
48,20,7,29,Tiktok,7,data_driven_homophily
65,23,13,45,Tiktok,7,data_driven_homophily+node2vec64
41,18,11,32,Tiktok,99,unweighted_homophily
44,11,10,26,Tiktok,99,similarity_knn
59,20,12,27,Tiktok,99,data_driven_homophily
66,30,17,42,Tiktok,99,data_driven_homophily+node2vec64
