n_nodes,n_edges,density,avg_degree,max_degree,n_train_train_edges,n_train_test_edges,n_test_test_edges,platform,seed,variant
11887,47986,0.0006792608069472869,8.073693951375452,11,31962,16024,0,Tiktok,42,unweighted_homophily
11887,43782,0.0006197515243980768,7.366366618995541,16,29514,14268,0,Tiktok,42,similarity_knn
11887,47986,0.0006792608069472869,8.073693951375452,11,31962,16024,0,Tiktok,42,data_driven_homophily
11887,47976,0.0006791192529926027,8.072011441070076,11,31928,16048,0,Tiktok,123,unweighted_homophily
11887,43702,0.0006186190927606037,7.352906536552537,17,29434,14268,0,Tiktok,123,similarity_knn
11887,47976,0.0006791192529926027,8.072011441070076,11,31928,16048,0,Tiktok,123,data_driven_homophily
11887,47929,0.0006784539494055873,8.06410364263481,11,32008,15921,0,Tiktok,2024,unweighted_homophily
11887,43668,0.0006181378093146777,7.34718600151426,17,29400,14268,0,Tiktok,2024,similarity_knn
11887,47929,0.0006784539494055873,8.06410364263481,11,32008,15921,0,Tiktok,2024,data_driven_homophily
11887,47959,0.0006788786112696398,8.069151173550939,11,31888,16071,0,Tiktok,7,unweighted_homophily
11887,44037,0.0006233611502425223,7.409270631782619,17,29769,14268,0,Tiktok,7,similarity_knn
11887,47959,0.0006788786112696398,8.069151173550939,11,31888,16071,0,Tiktok,7,data_driven_homophily
11887,47921,0.00067834070624184,8.062757634390511,11,31778,16143,0,Tiktok,99,unweighted_homophily
11887,43842,0.0006206008481261816,7.376461680827795,16,29574,14268,0,Tiktok,99,similarity_knn
11887,47921,0.00067834070624184,8.062757634390511,11,31778,16143,0,Tiktok,99,data_driven_homophily
