relation,n_unique,cardinality_ratio,mi_raw,mi_null,mi_corrected,platform,seed
same_author,9436,0.9923230623619729,0.49707846470144185,0.4970819431329419,-3.4784315000591093e-06,Tiktok,42
same_location,7,0.0007361447050163003,0.0002519379996813176,0.00029049486360533023,-3.855686392401265e-05,Tiktok,42
same_topic,15,0.0015774529393206436,0.0008843671165695427,0.0007782686327250159,0.00010609848384452684,Tiktok,42
same_language,10,0.001051635292880429,0.0004328520536691048,0.0004157139572971569,1.7138096371947895e-05,Tiktok,42
same_media_type,5,0.0005258176464402145,0.00018325646865298417,0.0002455312468355159,-6.227477818253173e-05,Tiktok,42
same_toxicity_bin,11,0.0011567988221684719,0.0009183152382284364,0.0005338712190524105,0.00038444401917602585,Tiktok,42
same_author,9418,0.990430118834788,0.49649531427085186,0.49597881690174267,0.0005164973691091923,Tiktok,123
same_location,7,0.0007361447050163003,0.00012013931975407913,0.0003359334853153604,-0.00021579416556128127,Tiktok,123
same_topic,15,0.0015774529393206436,0.000775158795582348,0.0007320915893569561,4.306720622539195e-05,Tiktok,123
same_language,10,0.001051635292880429,0.0005417037719356727,0.00045220988549400594,8.949388644166671e-05,Tiktok,123
same_media_type,5,0.0005258176464402145,6.917900687641865e-05,0.00022783471892530923,-0.00015865571204889058,Tiktok,123
same_toxicity_bin,11,0.0011567988221684719,0.0009672981800030699,0.0005408011468706964,0.00042649703313237344,Tiktok,123
same_author,9427,0.9913765905983805,0.49693267709379435,0.4967139956823231,0.00021868141147124431,Tiktok,2024
same_location,7,0.0007361447050163003,0.0002590778079047673,0.000377916561006444,-0.00011883875310167669,Tiktok,2024
same_topic,15,0.0015774529393206436,0.0006798772563981134,0.0007031464430775354,-2.3269186679421945e-05,Tiktok,2024
same_language,10,0.001051635292880429,0.000773726360127236,0.000525276338599687,0.00024845002152754894,Tiktok,2024
same_media_type,5,0.0005258176464402145,3.511390582037338e-05,0.0002362343946293787,-0.00020112048880900532,Tiktok,2024
same_toxicity_bin,11,0.0011567988221684719,0.0013724004403723187,0.0005694291206212348,0.0008029713197510839,Tiktok,2024
same_author,9419,0.9905352823640762,0.4972242523090893,0.49630138385928346,0.0009228684498058248,Tiktok,7
same_location,7,0.0007361447050163003,0.00013446118512495595,0.000335487619342191,-0.00020102643421723507,Tiktok,7
same_topic,15,0.0015774529393206436,0.0008891026361226642,0.0008162778125690609,7.282482355360333e-05,Tiktok,7
same_language,10,0.001051635292880429,0.0006081664391108417,0.00041335411847257783,0.00019481232063826387,Tiktok,7
same_media_type,5,0.0005258176464402145,6.432949077782996e-05,0.00020406820233431766,-0.0001397387115564877,Tiktok,7
same_toxicity_bin,11,0.0011567988221684719,0.0008376872555030659,0.0005852529291525675,0.00025243432635049844,Tiktok,7
same_author,9429,0.9915869176569566,0.4972242523090893,0.4965730676615972,0.0006511846474920868,Tiktok,99
same_location,7,0.0007361447050163003,0.0004198059870204225,0.0002927756268752924,0.00012703036014513012,Tiktok,99
same_topic,15,0.0015774529393206436,0.0009159195492212113,0.0007326049680822948,0.00018331458113891657,Tiktok,99
same_language,10,0.001051635292880429,0.0008648873821932301,0.0004910882264384593,0.0003737991557547708,Tiktok,99
same_media_type,5,0.0005258176464402145,4.572913871209866e-05,0.00015629156990339238,-0.00011056243119129372,Tiktok,99
same_toxicity_bin,11,0.0011567988221684719,0.0009183487725580777,0.0005464300162244291,0.00037191875633364854,Tiktok,99
