accuracy,precision,recall,f1,roc_auc,pr_auc,platform,seed,variant
0.803379588182632,0.5072310405643738,0.7997775305895439,0.6207640837470322,0.8903956358844594,0.6959523463022192,Twitter,42,data_driven_homophily+node2vec64_minus_centrality
0.8103178155774395,0.5188299817184644,0.789210233592881,0.6260754467240238,0.8892598357316792,0.6946859869947227,Twitter,42,data_driven_homophily+node2vec64_minus_node2vec
0.8050581915846016,0.5100574712643678,0.7897664071190211,0.6198166739415103,0.8849660093669035,0.6837593946898977,Twitter,123,data_driven_homophily+node2vec64_minus_centrality
0.8018128916741272,0.5047991468183434,0.7897664071190211,0.6159184558664064,0.8833948464266046,0.6791906281708208,Twitter,123,data_driven_homophily+node2vec64_minus_node2vec
0.8010295434198746,0.5035014005602241,0.7997775305895439,0.6179630425440481,0.8861051210039737,0.6853262537273241,Twitter,2024,data_driven_homophily+node2vec64_minus_centrality
0.8012533572068039,0.503971119133574,0.7764182424916574,0.6112084063047285,0.8842986868445405,0.6797866193146674,Twitter,2024,data_driven_homophily+node2vec64_minus_node2vec
0.8100940017905103,0.5185321100917432,0.78587319243604,0.6248065443289852,0.8866836567887298,0.6900473346775343,Twitter,7,data_driven_homophily+node2vec64_minus_centrality
0.8088630259623992,0.5164473684210527,0.78587319243604,0.623290692545214,0.8853878145481531,0.6877023602235219,Twitter,7,data_driven_homophily+node2vec64_minus_node2vec
0.8067367949865711,0.5128205128205128,0.7897664071190211,0.6218524195314211,0.8867426791263666,0.6778436510805314,Twitter,99,data_driven_homophily+node2vec64_minus_centrality
0.8070725156669651,0.5133960897900073,0.7886540600667408,0.6219298245614036,0.886441723642377,0.6697259892047394,Twitter,99,data_driven_homophily+node2vec64_minus_node2vec
