fp_to_tn_corrected_false_positives,tp_to_fn_lost_true_positives,fn_to_tp_recovered_positives,tn_to_fp_new_errors,platform,seed,variant
151,43,15,57,Twitter,42,unweighted_homophily
183,54,23,79,Twitter,42,similarity_knn
199,71,22,64,Twitter,42,data_driven_homophily
209,75,27,94,Twitter,42,data_driven_homophily+node2vec64
115,36,25,73,Twitter,123,unweighted_homophily
232,84,11,42,Twitter,123,similarity_knn
154,57,30,88,Twitter,123,data_driven_homophily
208,68,27,76,Twitter,123,data_driven_homophily+node2vec64
142,55,20,65,Twitter,2024,unweighted_homophily
175,40,14,56,Twitter,2024,similarity_knn
136,68,21,72,Twitter,2024,data_driven_homophily
183,45,33,91,Twitter,2024,data_driven_homophily+node2vec64
108,45,18,84,Twitter,7,unweighted_homophily
113,31,14,76,Twitter,7,similarity_knn
123,52,19,79,Twitter,7,data_driven_homophily
174,54,22,104,Twitter,7,data_driven_homophily+node2vec64
113,39,23,72,Twitter,99,unweighted_homophily
134,55,27,100,Twitter,99,similarity_knn
129,44,12,68,Twitter,99,data_driven_homophily
171,60,25,100,Twitter,99,data_driven_homophily+node2vec64
