n_nodes,n_edges,density,avg_degree,max_degree,n_train_train_edges,n_train_test_edges,n_test_test_edges,platform,seed,variant
44676,182201,0.00018257525188006634,8.156549377741964,12,121305,60896,0,Twitter,42,unweighted_homophily
44676,165960,0.00016630089188322684,7.429492344883159,18,112344,53616,0,Twitter,42,similarity_knn
44676,182201,0.00018257525188006634,8.156549377741964,12,121305,60896,0,Twitter,42,data_driven_homophily
44676,182084,0.00018245801155498598,8.151311666219,12,121373,60711,0,Twitter,123,unweighted_homophily
44676,165793,0.00016613354885512067,7.422016295102516,18,112177,53616,0,Twitter,123,similarity_knn
44676,182084,0.00018245801155498598,8.151311666219,12,121373,60711,0,Twitter,123,data_driven_homophily
44676,182025,0.00018239889036541555,8.14867042707494,12,121397,60628,0,Twitter,2024,unweighted_homophily
44676,165776,0.0001661165139360919,7.421255260094905,18,112160,53616,0,Twitter,2024,similarity_knn
44676,182025,0.00018239889036541555,8.14867042707494,12,121397,60628,0,Twitter,2024,data_driven_homophily
44676,182060,0.0001824339622575336,8.150237263855313,12,121250,60810,0,Twitter,7,unweighted_homophily
44676,165799,0.00016613956117948376,7.422284895693437,19,112183,53616,0,Twitter,7,similarity_knn
44676,182060,0.0001824339622575336,8.150237263855313,12,121250,60810,0,Twitter,7,data_driven_homophily
44676,182046,0.00018241993350068638,8.149610529143164,12,121427,60619,0,Twitter,99,unweighted_homophily
44676,165870,0.0001662107070177804,7.425463336019339,17,112254,53616,0,Twitter,99,similarity_knn
44676,182046,0.00018241993350068638,8.149610529143164,12,121427,60619,0,Twitter,99,data_driven_homophily
