relation,n_unique,cardinality_ratio,mi_raw,mi_null,mi_corrected,platform,seed
same_author,34549,0.9666759932848349,0.4866025980864006,0.48715927359248995,-0.0005566755060893436,Twitter,42
same_location,7,0.00019585898153329603,7.168137719151466e-05,8.073620744633904e-05,-9.05483025482439e-06,Twitter,42
same_topic,15,0.00041969781757134864,0.00017703142691415097,0.00019499292475929562,-1.7961497845144652e-05,Twitter,42
same_language,10,0.0002797985450475658,0.0001928912019861541,0.00014306948534590288,4.982171664025121e-05,Twitter,42
same_media_type,5,0.0001398992725237829,0.00017637675917992618,7.609855716941075e-05,0.00010027820201051543,Twitter,42
same_toxicity_bin,11,0.0003077783995523223,7.948269617219159e-05,0.0001242488399040386,-4.476614373184702e-05,Twitter,42
same_author,34551,0.9667319529938444,0.48670432262304286,0.4869945117254789,-0.0002901891024360559,Twitter,123
same_location,7,0.00019585898153329603,0.00014556163971405842,8.105712001431365e-05,6.450451969974476e-05,Twitter,123
same_topic,15,0.00041969781757134864,0.0002230199661802934,0.00019026456061983568,3.275540556045773e-05,Twitter,123
same_language,10,0.0002797985450475658,0.00013203563946655172,0.00011959961473223188,1.2436024734319845e-05,Twitter,123
same_media_type,5,0.0001398992725237829,0.0001160572176406166,5.7413910650391806e-05,5.86433069902248e-05,Twitter,123
same_toxicity_bin,11,0.0003077783995523223,0.000122782197782903,0.00014853073846720396,-2.574854068430096e-05,Twitter,123
same_author,34511,0.9656127588136542,0.48601564046225476,0.48667954672463704,-0.0006639062623822745,Twitter,2024
same_location,7,0.00019585898153329603,6.058884579468113e-05,9.937279282232585e-05,-3.8783947027644724e-05,Twitter,2024
same_topic,15,0.00041969781757134864,0.0003046119994562363,0.00017253392601172511,0.00013207807344451118,Twitter,2024
same_language,10,0.0002797985450475658,0.00011720270393374838,0.0001262779541806605,-9.075250246912131e-06,Twitter,2024
same_media_type,5,0.0001398992725237829,0.00010935601050700294,4.826889430599839e-05,6.108711620100455e-05,Twitter,2024
same_toxicity_bin,11,0.0003077783995523223,8.965735946092797e-05,0.00013679189375660658,-4.713453429567861e-05,Twitter,2024
same_author,34518,0.9658086177951875,0.48582607348401796,0.48676674555453303,-0.0009406720705150695,Twitter,7
same_location,7,0.00019585898153329603,6.178070539551717e-05,8.50074570652543e-05,-2.322675166973714e-05,Twitter,7
same_topic,15,0.00041969781757134864,0.0001619498887837703,0.00019286951911751533,-3.091963033374502e-05,Twitter,7
same_language,10,0.0002797985450475658,7.719405021302042e-05,0.00012490348222799635,-4.770943201497593e-05,Twitter,7
same_media_type,5,0.0001398992725237829,9.590299922745266e-05,4.4134252024279756e-05,5.17687472031729e-05,Twitter,7
same_toxicity_bin,11,0.0003077783995523223,0.00011501029892437183,0.00013722838486213623,-2.22180859377644e-05,Twitter,7
same_author,34484,0.9648573027420257,0.48628202575765667,0.48603978062047637,0.00024224513718029694,Twitter,99
same_location,7,0.00019585898153329603,7.888300872265636e-05,7.8830066305263e-05,5.294241739335615e-08,Twitter,99
same_topic,15,0.00041969781757134864,0.0002425325964402758,0.00018188795503289816,6.064464140737765e-05,Twitter,99
same_language,10,0.0002797985450475658,0.00015540785272339513,0.0001194008182169076,3.6007034506487534e-05,Twitter,99
same_media_type,5,0.0001398992725237829,0.00013403594208621222,5.1676445479967766e-05,8.235949660624446e-05,Twitter,99
same_toxicity_bin,11,0.0003077783995523223,9.977985808703495e-05,0.00014862640759973598,-4.8846549512701035e-05,Twitter,99
