fp_to_tn_corrected_false_positives,tp_to_fn_lost_true_positives,fn_to_tp_recovered_positives,tn_to_fp_new_errors,platform,seed,variant
122,57,10,26,Youtube,42,unweighted_homophily
83,25,6,14,Youtube,42,similarity_knn
134,62,11,33,Youtube,42,data_driven_homophily
130,58,7,26,Youtube,42,data_driven_homophily+node2vec64
106,34,8,14,Youtube,123,unweighted_homophily
76,18,6,21,Youtube,123,similarity_knn
121,44,7,19,Youtube,123,data_driven_homophily
141,48,10,24,Youtube,123,data_driven_homophily+node2vec64
92,32,7,23,Youtube,2024,unweighted_homophily
64,27,8,26,Youtube,2024,similarity_knn
92,31,8,30,Youtube,2024,data_driven_homophily
127,60,10,34,Youtube,2024,data_driven_homophily+node2vec64
83,36,9,34,Youtube,7,unweighted_homophily
29,12,4,39,Youtube,7,similarity_knn
94,41,6,33,Youtube,7,data_driven_homophily
103,36,7,33,Youtube,7,data_driven_homophily+node2vec64
103,48,4,24,Youtube,99,unweighted_homophily
30,10,12,46,Youtube,99,similarity_knn
95,46,8,27,Youtube,99,data_driven_homophily
122,46,3,26,Youtube,99,data_driven_homophily+node2vec64
