n_nodes,n_edges,density,avg_degree,max_degree,n_train_train_edges,n_train_test_edges,n_test_test_edges,platform,seed,variant
18130,73531,0.0004474338272593633,8.111527854384997,12,48960,24571,0,Youtube,42,unweighted_homophily
18130,66480,0.0004045287135521409,7.333701047986763,16,44724,21756,0,Youtube,42,similarity_knn
18130,73531,0.0004474338272593633,8.111527854384997,12,48960,24571,0,Youtube,42,data_driven_homophily
18130,73423,0.0004467766506488995,8.0996138996139,12,49102,24321,0,Youtube,123,unweighted_homophily
18130,66423,0.0004041818703410628,7.327413127413127,17,44667,21756,0,Youtube,123,similarity_knn
18130,73423,0.0004467766506488995,8.0996138996139,12,49102,24321,0,Youtube,123,data_driven_homophily
18130,73544,0.00044751293185136355,8.11296194153337,12,49058,24486,0,Youtube,2024,unweighted_homophily
18130,66471,0.0004044739488346022,7.332708218422504,17,44715,21756,0,Youtube,2024,similarity_knn
18130,73544,0.00044751293185136355,8.11296194153337,12,49058,24486,0,Youtube,2024,data_driven_homophily
18130,73465,0.00044703221933074653,8.104247104247104,12,49036,24429,0,Youtube,7,unweighted_homophily
18130,66476,0.00040450437367767927,7.333259790402647,17,44720,21756,0,Youtube,7,similarity_knn
18130,73465,0.00044703221933074653,8.104247104247104,12,49036,24429,0,Youtube,7,data_driven_homophily
18130,73551,0.0004475555266316714,8.11373414230557,11,48964,24587,0,Youtube,99,unweighted_homophily
18130,66377,0.00040390196178475413,7.322338665195808,16,44621,21756,0,Youtube,99,similarity_knn
18130,73551,0.0004475555266316714,8.11373414230557,11,48964,24587,0,Youtube,99,data_driven_homophily
