relation,n_unique,cardinality_ratio,mi_raw,mi_null,mi_corrected,platform,seed
same_author,14298,0.9857970215113072,0.4938264884670218,0.4941489935839549,-0.0003225051169331028,Youtube,42
same_location,7,0.00048262548262548264,0.00025895836270944245,0.00020811725134009794,5.08411113693445e-05,Youtube,42
same_topic,15,0.0010341974627688913,0.00032504948115729543,0.0005108085290689288,-0.0001857590479116334,Youtube,42
same_language,10,0.0006894649751792609,0.00046631619694307083,0.0002835562090283366,0.00018275998791473423,Youtube,42
same_media_type,5,0.00034473248758963045,7.569422394601566e-05,0.00013005569650330917,-5.436147255729351e-05,Youtube,42
same_toxicity_bin,11,0.000758411472697187,0.0005121801916653712,0.00032666837320448843,0.00018551181846088275,Youtube,42
same_author,14314,0.9869001654715941,0.49526019057794285,0.49458794358815544,0.0006722469897874062,Youtube,123
same_location,7,0.00048262548262548264,0.0003362875197257982,0.00023988286320657178,9.640465651922643e-05,Youtube,123
same_topic,15,0.0010341974627688913,0.0005053073287123663,0.00046618283734753684,3.9124491364829494e-05,Youtube,123
same_language,10,0.0006894649751792609,0.0005294652109751954,0.00035524678639444645,0.000174218424580749,Youtube,123
same_media_type,5,0.00034473248758963045,1.9143844428776147e-05,0.00017364535434916695,-0.0001545015099203908,Youtube,123
same_toxicity_bin,11,0.000758411472697187,0.0007858309895427823,0.00035318197490089075,0.00043264901464189155,Youtube,123
same_author,14312,0.9867622724765582,0.49478228987430256,0.4944891774427365,0.00029311243156604494,Youtube,2024
same_location,7,0.00048262548262548264,0.00015709541143128086,0.00020726938249067696,-5.01739710593961e-05,Youtube,2024
same_topic,15,0.0010341974627688913,0.0004760233650691961,0.00042626435988579714,4.975900518339898e-05,Youtube,2024
same_language,10,0.0006894649751792609,0.0007190161356686112,0.0002619686579847842,0.000457047477683827,Youtube,2024
same_media_type,5,0.00034473248758963045,2.484960850381024e-05,0.0001251015579735009,-0.00010025194946969065,Youtube,2024
same_toxicity_bin,11,0.000758411472697187,0.0006087345930208292,0.00037879201361836075,0.0002299425794024684,Youtube,2024
same_author,14300,0.9859349145063431,0.4943043891706622,0.49433089288649334,-2.650371583112765e-05,Youtube,7
same_location,7,0.00048262548262548264,0.00020304217854038437,0.00020104407150159132,1.998107038793048e-06,Youtube,7
same_topic,15,0.0010341974627688913,0.0004065793158810685,0.0005164794051163356,-0.00010990008923526709,Youtube,7
same_language,10,0.0006894649751792609,0.0006319425898882319,0.00032251411822920885,0.0003094284716590231,Youtube,7
same_media_type,5,0.00034473248758963045,1.179184524092991e-05,0.00010660856722994374,-9.481672198901383e-05,Youtube,7
same_toxicity_bin,11,0.000758411472697187,0.0005699476317102738,0.0003808348755341627,0.00018911275617611116,Youtube,7
same_author,14316,0.9870380584666298,0.4946867097335745,0.49474237138603694,-5.566165246245758e-05,Youtube,99
same_location,7,0.00048262548262548264,0.00015587913397905467,0.00019843853722314165,-4.2559403244086977e-05,Youtube,99
same_topic,15,0.0010341974627688913,0.0005097775641433877,0.0005190889134970338,-9.311349353646075e-06,Youtube,99
same_language,10,0.0006894649751792609,0.0004748585180690962,0.0003043508603572571,0.00017050765771183907,Youtube,99
same_media_type,5,0.00034473248758963045,3.9951362086149134e-05,0.00014833487251175148,-0.00010838351042560235,Youtube,99
same_toxicity_bin,11,0.000758411472697187,0.0005430718912241891,0.0003387631823676123,0.00020430870885657679,Youtube,99
