post_id,platform,hour_of_day,day_of_week,is_weekend,user_id,followers,account_age_days,verified,topic,language,content_length,media_type,num_hashtags,sentiment_category,sentiment_positive,sentiment_negative,sentiment_neutral,toxicity_score,location,hour_sin,hour_cos,day_sin,day_cos,has_media,many_hashtags,long_content,sentiment_intensity,high_toxicity,popularity
FAC20250419000006,Facebook,8,5,1,user_157662,265,57,0,Finance,English,336,Text,5,Neutral,0.215,0.0,0.816,23.0,North America,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,0,1,1,0.816,0,0
FAC20250419000037,Facebook,11,5,1,user_497853,252,3100,0,Health,English,387,Video,3,Negative,0.081,0.672,0.247,55.5,Asia,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,1,0,1,0.672,0,0
FAC20250419000049,Facebook,12,5,1,user_161936,472,3604,0,Sports,French,225,Image,1,Negative,0.069,0.869,0.062,73.7,Europe,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,1,0,1,0.869,1,0
FAC20250419000094,Facebook,14,5,1,user_21763,2590,3394,0,Education,English,68,Video,0,Negative,0.025,0.911,0.064,84.3,North America,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,1,0,0,0.911,1,0
FAC20250419000108,Facebook,14,5,1,user_432291,119,1611,0,Climate,Portuguese,52,Text,2,Positive,0.887,0.053,0.059,0.0,South America,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0,0,0,0.887,0,0
FAC20250419000144,Facebook,15,5,1,user_184676,3949,720,0,Technology,English,214,Video,1,Neutral,0.102,0.213,0.685,7.0,Asia,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,1,0,1,0.685,0,1
FAC20250419000145,Facebook,16,5,1,user_458936,3623,1612,0,Health,French,181,Image,2,Positive,0.929,0.105,0.0,22.0,North America,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,1,0,0,0.929,0,0
FAC20250419000150,Facebook,16,5,1,user_448725,28504,907,0,Technology,English,47,Image,0,Positive,0.675,0.058,0.267,29.4,North America,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,1,0,0,0.675,0,1
FAC20250419000158,Facebook,16,5,1,user_436599,1708,978,0,Sports,Spanish,73,Text,3,Positive,0.93,0.149,0.0,37.9,Asia,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0,0,0,0.93,0,1
FAC20250419000175,Facebook,17,5,1,user_409955,149,1925,0,Health,Japanese,292,Text,0,Positive,0.788,0.142,0.07,15.2,Asia,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,0,0,1,0.788,0,0
