post_id,platform,hour_of_day,day_of_week,is_weekend,user_id,followers,account_age_days,verified,topic,language,content_length,media_type,num_hashtags,sentiment_category,sentiment_positive,sentiment_negative,sentiment_neutral,toxicity_score,location,hour_sin,hour_cos,day_sin,day_cos,has_media,many_hashtags,long_content,sentiment_intensity,high_toxicity,popularity
YOU20250419000022,YouTube,10,5,1,user_328055,66,654,0,Entertainment,English,289,Text,3,Positive,0.696,0.012,0.291,0.0,Europe,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0,0,1,0.696,0,0
YOU20250419000027,YouTube,10,5,1,user_274593,6062,2114,0,AI/ML,Chinese,296,Image,1,Neutral,0.088,0.129,0.783,0.0,North America,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1,0,1,0.783,0,0
YOU20250419000038,YouTube,11,5,1,user_72978,746,2293,0,Climate,Korean,53,Text,2,Positive,0.942,0.074,0.0,8.8,Europe,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,0,0,0,0.942,0,0
YOU20250419000059,YouTube,12,5,1,user_146112,32198,2676,0,Travel,Arabic,222,Text,4,Positive,0.784,0.114,0.102,26.2,South America,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,0,1,0.784,0,1
YOU20250419000065,YouTube,13,5,1,user_228587,154669,2910,0,Sports,Spanish,165,Video,3,Positive,0.847,0.026,0.127,0.0,Asia,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,1,0,1,0.847,0,1
YOU20250419000073,YouTube,13,5,1,user_83327,32,907,0,Entertainment,Spanish,165,Image,1,Neutral,0.1,0.084,0.816,0.0,North America,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,1,0,1,0.816,0,0
YOU20250419000074,YouTube,13,5,1,user_462981,9628,2457,0,Science,Korean,95,Image,0,Positive,0.857,0.11,0.033,8.5,Europe,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,1,0,0,0.857,0,0
YOU20250419000081,YouTube,14,5,1,user_9189,53404,2146,1,Travel,Spanish,76,Text,5,Neutral,0.128,0.03,0.842,0.0,Asia,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0,1,0,0.842,0,1
YOU20250419000086,YouTube,14,5,1,user_87216,128,836,0,Technology,Japanese,187,Video,1,Positive,0.738,0.047,0.214,21.2,Asia,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,1,0,1,0.738,0,0
YOU20250419000096,YouTube,14,5,1,user_261797,7432,750,0,Entertainment,English,196,Text,6,Neutral,0.1,0.209,0.691,21.0,Europe,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0,1,1,0.691,0,0
YOU20250419000097,YouTube,14,5,1,user_59932,888,2816,0,Climate,English,291,Image,1,Negative,0.11,0.832,0.058,65.3,Asia,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,1,0,1,0.832,0,0
YOU20250419000107,YouTube,14,5,1,user_245604,2010,2383,0,Sports,English,109,Link,1,Neutral,0.054,0.188,0.758,12.9,Asia,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,1,0,0,0.758,0,0
YOU20250419000128,YouTube,15,5,1,user_283489,39081,3500,0,Finance,English,158,Text,0,Negative,0.078,0.624,0.298,53.2,Asia,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,0,0,1,0.624,0,0
YOU20250419000156,YouTube,16,5,1,user_487277,16571,445,0,Entertainment,English,238,Link,1,Positive,0.754,0.033,0.213,0.0,North America,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,1,0,1,0.754,0,0
