hour_of_day,day_of_week,is_weekend,followers,account_age_days,verified,content_length,num_hashtags,sentiment_positive,sentiment_negative,toxicity_score,hour_sin,hour_cos,day_sin,day_cos,followers_log,has_media,many_hashtags,long_content,sentiment_intensity,high_toxicity,large_account,topic_Business,topic_Climate,topic_Education,topic_Entertainment,topic_Fashion,topic_Finance,topic_Food,topic_Gaming,topic_Health,topic_Politics,topic_Science,topic_Sports,topic_Technology,topic_Travel,language_Chinese,language_English,language_French,language_German,language_Hindi,language_Japanese,language_Korean,language_Portuguese,language_Spanish,media_type_Link,media_type_Poll,media_type_Text,media_type_Video,location_Asia,location_Europe,location_North America,location_Oceania,location_South America,location_Unknown,popularity
13,0,0,691,2970,0,294,1,0.23,0.0,0.0,-0.2588190451025208,-0.9659258262890683,0.0,1.0,6.539585955617669,0,0,1,0.79,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
18,3,0,1216,3521,0,57,3,0.616,0.092,15.8,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,7.104144092987527,1,0,0,0.616,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
20,0,0,37,1137,0,75,2,0.758,0.029,29.7,-0.8660254037844386,0.5000000000000001,0.0,1.0,3.6375861597263857,1,0,0,0.758,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,1,0,8855,1877,0,307,2,0.04,0.94,84.5,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,9.088850474388472,1,0,1,0.94,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
20,0,0,9,1462,0,234,2,0.114,0.054,13.6,-0.8660254037844386,0.5000000000000001,0.0,1.0,2.302585092994046,1,0,1,0.831,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
19,4,0,1874,1159,0,141,1,0.191,0.077,0.0,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,7.536363938404511,0,0,0,0.732,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
17,1,0,52018,293,0,111,3,0.076,0.915,69.6,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,10.859364315442246,0,0,0,0.915,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
20,1,0,576,2184,0,305,1,0.263,0.093,31.5,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,6.3578422665081,1,0,1,0.644,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
16,0,0,9951,638,0,194,1,0.198,0.121,32.6,-0.8660254037844385,-0.5000000000000004,0.0,1.0,9.20552881497896,1,0,1,0.68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,1201,3207,0,296,5,0.695,0.034,29.5,-0.4999999999999997,-0.8660254037844388,0.0,1.0,7.091742115095153,1,1,1,0.695,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
