hour_of_day,day_of_week,is_weekend,followers,account_age_days,verified,content_length,num_hashtags,sentiment_positive,sentiment_negative,toxicity_score,hour_sin,hour_cos,day_sin,day_cos,followers_log,has_media,many_hashtags,long_content,sentiment_intensity,high_toxicity,large_account,topic_Business,topic_Climate,topic_Education,topic_Entertainment,topic_Fashion,topic_Finance,topic_Food,topic_Gaming,topic_Health,topic_Politics,topic_Science,topic_Sports,topic_Technology,topic_Travel,language_Chinese,language_English,language_French,language_German,language_Hindi,language_Japanese,language_Korean,language_Portuguese,language_Spanish,media_type_Link,media_type_Poll,media_type_Text,media_type_Video,location_Asia,location_Europe,location_North America,location_Oceania,location_South America,location_Unknown,popularity
16,4,0,82,1177,0,130,0,0.897,0.037,0.0,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,4.418840607796598,1,0,0,0.897,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2,0,5854,3129,0,72,4,0.645,0.059,36.2,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,8.675051276031818,1,0,0,0.645,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
19,0,0,100,1841,0,125,1,0.875,0.106,0.0,-0.9659258262890684,0.2588190451025203,0.0,1.0,4.61512051684126,1,0,0,0.875,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
19,1,0,140,2114,0,37,2,0.17,0.299,32.3,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,4.948759890378168,1,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
9,2,0,302,2972,0,164,3,0.753,0.051,0.0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,5.713732805509369,1,0,1,0.753,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,4,0,3801,3518,0,64,3,0.84,0.146,27.6,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,8.243282523048375,0,0,0,0.84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
14,2,0,1248,2765,0,243,5,0.246,0.011,5.4,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,7.130098510125578,1,1,1,0.742,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,2,0,270,1560,0,219,1,0.179,0.017,0.0,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,5.602118820879701,0,0,1,0.804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
18,5,1,852,46,0,127,0,0.897,0.036,7.8,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,6.748759547491679,0,0,0,0.897,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
10,4,0,3551,119,0,95,2,0.804,0.016,14.9,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,8.17526610411206,0,0,0,0.804,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
